"s_1","s_2","s_3","s_4","s_5","s_1.1","s_2.1","s_3.1","s_4.1","s_5.1","t_1","t_2","t_2.1","t_2.2","t_2.3","t_1.1","t_2.4","t_2.1.1","t_2.2.1","t_2.3.1","c(extract[[i]]$mortality1)","c(extract[[i]]$mortality2)","tot_profit","tot_biomass"
50,50,50,50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.130601790824433,NA,250
51.1379641835113,52.3879641835113,52.3879641835113,54.8879641835113,49.5518567340454,2.61203581648865,2.61203581648866,2.61203581648866,2.61203581648866,10.4481432659546,-1.77635683940025e-15,0,0,0,5.22407163297731,-3.99680288865056e-14,0,0,0,423.149802271162,0.2,0.130601790824433,5.22407163297731,260.353713468091
52.1890475515622,54.6136612770842,54.6136612770842,59.421541496752,49.0977566630984,2.69697418822469,2.76289816054364,2.76289816054364,2.89474610518152,10.4532967413997,0,0,0,0,5.27391778551539,0,0,0,0,423.975468484966,0.2,0.130601790824433,5.27391778551539,269.935668265581
53.1546091274706,56.6648127050704,56.6648127050704,63.4931160322271,48.6435130039412,2.77725053031716,2.90627683125448,2.90627683125448,3.16212913199979,10.4509874870013,0,0,0,0,5.32151986022213,0,0,0,0,424.469912944654,0.2,0.130601790824433,5.32151986022213,278.62086357378
54.0369984077416,58.534905461705,58.534905461705,67.0393966574681,48.1938191047409,2.85268338160827,3.04106778657807,3.04106778657807,3.40752683398161,10.4423336713184,0,0,2.22044604925031e-16,0,5.3667657959204,0,0,4.98648302392257e-15,0,424.668926845563,0.2,0.130601790824433,5.3667657959204,286.340025093361
54.8393732513167,60.222718865055,60.222718865055,70.041818210603,47.752421224668,2.92317912220874,3.16649737416956,3.16649737416956,3.62655533151349,10.4283487223673,0,0,-2.22044604925031e-16,0,5.40958826053143,0,0,-4.97713800520965e-15,0,424.60708983622,0.2,0.130601790824433,5.40958826053143,293.079050416698
55.5655207689717,61.7315976094114,61.7315976094114,72.5195446283816,47.3222658829536,2.98872318214666,3.28211329365564,3.28211329365564,3.81725015066077,10.4099489003092,1.77635683940025e-15,0,2.22044604925031e-16,0,5.44995867923215,3.94340844055687e-14,0,4.96512083619541e-15,0,424.318197253253,0.2,0.130601790824433,5.44995867923216,298.87052649913
56.2196883573218,63.0685799808862,63.0685799808862,74.5183683560099,46.9056255317486,3.04936987950508,3.38775686358695,3.38775686358695,3.97978660156277,10.3879593111986,0,0,0,2.22044604925031e-16,5.48788140074065,0,0,0,5.02264347850159e-15,423.835161255444,0.2,0.130601790824433,5.48788140074065,303.780842206853
56.8064299632759,64.2434819374146,64.2434819374146,76.0989784622295,46.5042058542578,3.10523160915267,3.48352247803798,3.48352247803798,4.11593873325745,10.3631190640917,0,0,0,2.22044604925031e-16,5.52338815792858,0,0,0,5.010781440913e-15,423.189589704226,0.2,0.130601790824433,5.52338815792858,307.896578154592
57.330470739652,65.2680181492865,65.2680181492865,77.3270436301275,46.1192374887959,3.15646799035639,3.5697102327251,3.5697102327251,4.22846480178624,10.3360860586243,0,0,0,-2.22044604925031e-16,5.55653293543878,0,0,0,-4.99568729019314e-15,422.411262667128,0.2,0.130601790824433,5.55653293543878,311.312788157148
57.7965915870056,66.1550164248954,66.1550164248954,78.2661802612195,45.7515545139711,3.20327545074912,3.64677696797726,3.64677696797726,4.32056142821926,10.3074417041513,0,0,-2.22044604925031e-16,0,5.58738731676523,0,0,-4.89778685312647e-15,0,421.527671664208,0.2,0.130601790824433,5.58738731676523,314.124359211987
58.2095337348233,66.9177575448542,66.9177575448542,78.973792289623,45.4016616320629,3.24587759162039,3.71528976866388,3.71528976866388,4.39545713191729,10.2776957257172,0,0,2.22044604925031e-16,0,5.61603634832708,0,0,4.87809800227345e-15,0,420.563706941226,0.2,0.130601790824433,5.61603634832708,316.420502746218
58.5739225115166,67.5694518935611,67.5694518935611,79.4991949660976,45.0697916617951,3.2845165570919,3.77588461060025,3.77588461060025,4.4561554045987,10.2472911072836,0,0,0,-2.22044604925031e-16,5.64257492948611,0,0,0,-4.93828685336326e-15,419.541510544748,0.2,0.130601790824433,5.64257492948611,318.281812926531
58.8942087659874,68.1228490194115,68.1228490194115,79.8832848284791,44.7559546907115,3.31944552467901,3.82923159446928,3.82923159446928,4.50530262667505,10.2166091540512,0,0,-2.22044604925031e-16,0,5.66710471545823,0,0,-4.83771254925985e-15,0,418.480472786881,0.2,0.130601790824433,5.66710471545823,319.779146324001
59.174625991268,68.5899665039743,68.5899665039743,80.1591082685125,44.4599800295579,3.35092235035988,3.87600720227641,3.87600720227641,4.54514442354657,10.1859746163302,0,0,0,0,5.6897315042886,0,0,0,0,417.397334327378,0.2,0.130601790824433,5.6897315042886,320.973647297287
59.4191610102178,68.9819194986897,68.9819194986897,80.3528564008326,44.1815519446927,3.37920433793076,3.91687329604681,3.91687329604681,4.57753643302434,10.1556607997736,0,0,0,0,5.71056306875417,0,0,0,0,416.30635628524,0.2,0.130601790824433,5.71056306875417,321.917408353122
59.6315360605528,69.3088308248819,69.3088308248819,80.484985175866,43.9202400094645,3.40454405846036,3.95246213809834,3.95246213809834,4.60398354989783,10.125894584139,0,0,-5.80371683700476e-16,0,5.72970738828661,0,0,-1.2489271841564e-14,0,415.219527861827,0.2,0.130601790824433,5.72970738828661,322.654422895647
59.8152002119445,69.5798024327542,69.5798024327542,80.571291811809,43.6755248037792,3.42718611827976,3.98336649647984,3.98336649647984,4.62569040053876,10.0968612795152,0,0,0,0,5.74727123379754,0,0,0,0,414.146789458587,0.2,0.130601790824433,5.74727123379754,323.221621693041
59.9733282192428,69.8029312596019,69.8029312596019,80.6238673173248,43.4468195968772,3.44736475990084,4.01013384654091,4.01013384654091,4.64361284535585,10.0687092608716,0,0,0,-2.22044604925031e-16,5.76335905871036,0,0,0,-4.81455090123508e-15,413.096256674492,0.2,0.130601790824433,5.76335905871036,323.649877652649
60.1088251292744,69.9853553544388,69.9853553544388,80.651898343789,43.2334885674961,3.46530217631531,4.03326373221814,4.03326373221814,4.65850522512839,10.0415543357976,0,0,0,-2.22044604925031e-16,5.7780721517527,0,0,0,-4.79604676835795e-15,412.07443614603,0.2,0.130601790824433,5.7780721517527,323.964922749437
60.2243351886695,70.1333190356416,70.1333190356416,80.6623205743755,43.0348620452563,3.48120742236353,4.05320746151078,4.05320746151078,4.67096115317962,10.015483814375,-1.77635683940025e-15,0,0,0,5.79150801047367,-3.71329181140398e-14,0,0,0,411.086428063092,0.2,0.130601790824433,5.79150801047366,324.188155879584
60.3222538287768,70.2522485191832,70.2522485191832,80.6603394506644,42.850249195315,3.49527581481726,4.07036944567652,4.07036944567652,4.68144741469384,9.99056026302678,0,0,0,0,5.80375989849841,0,0,0,0,410.136112743437,0.2,0.130601790824433,5.80375989849841,324.337339513123
60.4047417190881,70.3468317504411,70.3468317504411,80.6498387738859,42.6789485137832,3.50768872353019,4.08510962857663,4.08510962857663,4.69033143108854,9.96682493525544,0,0,0,0,5.81491655382552,0,0,0,0,409.226320268164,0.2,0.130601790824433,5.81491655382552,324.427192507639
60.4737400757259,70.4210980474941,70.4210980474941,80.633697795891,42.5202564531245,3.51861366800073,4.09774657838545,4.09774657838545,4.6979031273993,9.94430088120337,0,0,0,0,5.82506201974015,0,0,0,0,408.358983180565,0.2,0.130601790824433,5.82506201974015,324.46989041973
60.5309865830628,70.4784946342591,70.4784946342591,80.6140353390491,42.3734744540854,3.52820464590233,4.10856092230426,4.10856092230426,4.70439213489199,9.92299574493098,0,0,0,0,5.83427557396694,0,0,0,0,407.535272848675,0.2,0.130601790824433,5.83427557396694,324.475485644715
60.5780314335811,70.5219582551433,70.5219582551433,80.5923966479083,42.2379146230636,3.5366026318627,4.117798894145,4.117798894145,4.70998121191912,9.90290426341192,0,0,0,0,5.84263173541645,0,0,0,0,406.755720433132,0.2,0.130601790824433,5.84263173541645,324.45225921484
60.6162531144881,70.5539808784613,70.5539808784613,80.5698957942795,42.1129042607404,3.54393619557831,4.12567583543034,4.12567583543034,4.71481665563992,9.8840104847278,0,0,0,0,5.85020033122726,0,0,0,0,406.020323579964,0.2,0.130601790824433,5.85020033122726,324.407014926431
60.6468736712004,70.5766690734694,70.5766690734694,80.54732385756,41.9977894188508,3.55032219800131,4.13237954508756,4.13237954508756,4.71901635010022,9.86628972508856,0,0,0,0,5.85704660975281,0,0,0,0,405.328640032066,0.2,0.130601790824433,5.85704660975281,324.34532509455
60.6709732599967,70.5917970396432,70.5917970396432,80.525230898616,41.8919376367274,3.55586653274801,4.13807341350814,4.13807341350814,4.72267597436806,9.84971028538323,0,0,0,0,5.86323138769904,0,0,0,0,404.679869361763,0.2,0.130601790824433,5.86323138769904,324.271735874626
60.6895038674638,70.6008535226647,70.6008535226647,80.503987947014,41.7947399873612,3.56066488705958,4.14289930633474,4.14289930633474,4.72587378736049,9.83423494821933,0,0,0,0,5.86881122180267,0,0,0,0,404.07292399406,0.2,0.130601790824433,5.86881122180267,324.189938847168
60.7033021253944,70.6050830067101,70.6050830067101,80.4838337886104,41.7056125438036,3.56480350267055,4.14698018423005,4.14698018423005,4.72867431638894,9.81982227605751,0,0,0,0,5.87383859728943,0,0,0,0,403.50649063253,0.2,0.130601790824433,5.87383859728943,324.102914471229
