"as.factor(run)","sum","average"
"Ex: Sp5- $40",9512.57798320305,306.857354296873
"Ex: Sp2- $40",9205.86240012788,296.963303229932
"Ex: Sp4- $40",8592.40656086006,277.174405189034
"Ex: Sp1- $40",8387.05561367971,270.550181086442
"Ex: Sp3- $40",7723.57778622113,249.147670523262
"Ex: $20 all",6194.07128017233,199.808750973301
