"as.factor(run)","sum","average"
"100",95252.1067215601,3175.070224052
"90",85697.3334987242,2856.57778329081
"80",76142.5693832187,2538.08564610729
"70",66587.8182715926,2219.59394238642
"60",57033.0866529932,1901.10288843311
"50",47478.386195681,1582.61287318937
"40",37923.7402020007,1264.12467340002
"30",28369.202923356,945.640097445201
"20",18814.9364870351,627.164549567838
"10",9261.74419392802,308.724806464267
"1",658.974398646355,21.9658132882118
