"as.factor(run)","sum","average"
"100",80488.9433742567,2682.96477914189
"90",72439.7461546971,2414.65820515657
"80",64390.5489396698,2146.35163132233
"70",56341.3517309169,1878.04505769723
"60",48292.154594276,1609.73848647587
"50",40242.9574077922,1341.43191359307
"40",32193.7602401903,1073.12534133968
"30",24144.5630931691,804.818769772302
"20",16095.3661252116,536.51220417372
"10",8047.33816392399,268.244605464133
"1",802.963730184064,26.7654576728021
