"as.factor(run)","sum","average"
"Ex: Extreme Low and High Prices",83776.9617203239,2792.56539067746
"Ex: Low and High Prices",73391.1357392937,2446.37119130979
"Ex: Ranging Prices",22534.0512322337,751.135041074458
"Ex: Uniform Prices",18814.9364870351,627.164549567838
"Ex: Single High Price",12464.6495348561,415.488317828536
