"as.factor(run)","sum","average"
"Ex: $20 all",18814.9364870351,627.164549567838
"Ex: Sp5- $40",12464.6495348561,415.488317828536
"Ex: Sp4- $40",8203.24394655455,273.441464885152
"Ex: Sp2- $40",5990.80561660597,199.693520553532
"Ex: Sp3- $40",4892.80783587198,163.093594529066
"Ex: Sp1- $40",4521.72864894685,150.724288298228
