"s_1","s_3","s_4","s_5","s_1.1","s_3.1","s_4.1","s_5.1","t_1","t_2","t_2.1","t_2.2","t_1.1","t_2.3","t_2.1.1","t_2.2.1","c(extract[[i]]$mortality1)","c(extract[[i]]$mortality2)","tot_profit","tot_biomass"
50,50,50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,0.1,NA,200
48.75,50,44.9999999999999,47.4999999999999,5.00000000000002,5.00000000000002,12.5000000000001,12.5000000000001,0,-1.38710165032846e-15,5.00000000000002,5.00000000000002,0,-9.57100138726634e-14,345.000000000002,345.000000000002,0.9,0.1,10,191.25
47.62265625,50,41.6812499999999,45.0656249999999,4.87500000000001,5.00000000000001,10.74375,12.409375,0,-1.24437892179154e-15,4.62500000000001,5.37500000000001,0,-8.36844824904812e-14,297.156250000001,353.406250000001,0.9,0.1,10,184.36953125
46.6019129800415,50,39.1881251074218,43.0154911376952,4.762265625,5,9.78552008789062,11.9527416357422,0,0,4.49234375,5.50765625000001,0,0,273.505820288086,346.50472668457,0.9,0.1,10,178.805529225158
45.6744011889445,50,37.2153467592062,41.3256227640792,4.66019129800415,4.99999999999999,9.12208843213731,11.4947349174256,0,-1.04808369447793e-15,4.42589509545898,5.57410490454101,0,-6.78750590725368e-14,257.914526300159,337.625766651181,0.9,0.1,10,174.21537071223
44.8288948624387,50,35.6095120545309,39.9288690709838,4.56744011889446,5,8.61549262921328,11.0957744113712,0,0,4.38345859926905,5.61654140073096,0,0,246.228873441258,329.34526974832,0.9,0.1,10,170.367275987953
44.0558948836793,50,34.2780214918255,38.7648394069668,4.48288948624389,5.00000000000001,8.21023213277933,10.7583189512595,0,0,4.35209644753207,5.64790355246795,0,0,236.92448541957,322.104325986085,0.9,0.1,10,167.098755782472
43.3473068168606,50,33.1590708783977,37.7860257293407,4.40558948836793,5,7.87740878879333,10.4738983434211,0,0,4.32697731272881,5.6730226872712,0,0,229.27166053068,315.866271880967,0.9,0.1,10,164.292403424599
42.696188645291,49.9999999999999,32.2088673351027,36.9560405693601,4.33473068168608,5.00000000000002,7.5993528622584,10.2332604900433,0,8.32440691183308e-16,4.30595677235857,5.69404322764148,0,5.14935164169039e-14,222.850156150657,310.496724529098,0.9,0.1,10,161.861096549754
42.0965512903041,50,31.3951321249624,36.2469856466499,4.26961886452909,4.99999999999998,7.36416200564041,10.0284754121975,0,-7.98140327060868e-16,4.28792401486138,5.7120759851386,0,-4.89836431924954e-14,217.387198021239,305.857927626101,0.9,0.1,9.99999999999998,159.738669061916
41.5431994090135,50,30.6933863884185,35.6372648274525,4.20965512903041,5,7.16332241060106,9.85313920398362,0,1.53744212796609e-15,4.27222197174687,5.72777802825312,0,9.37036135672214e-14,212.691772331134,301.830562541168,0.9,0.1,9.99999999999999,157.873850624885
41.0316032537586,50,30.0846534742131,35.1099576006128,4.15431994090135,4.99999999999999,6.99049692676475,9.70215458029274,0,0,4.25841823414491,5.74158176585508,0,0,208.623324363449,298.316104595728,0.9,0.1,9.99999999999999,156.226214328584
40.5577947180858,50,29.553957423537,34.6516427832011,4.10316032537586,5,6.84083296894956,9.57146136678956,0,7.21228290831234e-16,4.24620438104004,5.75379561895996,0,4.34505735427536e-14,205.074835192592,295.234258029707,0.9,0.1,10,154.763394924824
40.1182823853985,50,29.0893015888886,34.2515495359139,4.05577947180857,4.99999999999999,6.71053386353279,9.4578049702693,0,0,4.23534719605038,5.7646528039496,0,0,201.96275737675,292.519608735463,0.9,0.1,9.99999999999998,153.459133510201
39.7099816323365,50,28.6809521108794,33.9009399231224,4.01182823853986,5.00000000000002,6.59657755388779,9.35855484471245,0,6.85007639519066e-16,4.22566280794622,5.77433719205382,0,4.08893573077457e-14,199.220595694774,290.118617048028,0.9,0.1,10,152.291873666338
39.3301567520926,50,28.3209226665441,33.5926547814059,3.97099816323367,5.00000000000001,6.49652403563947,9.27156620028088,0,-4.44089209850063e-16,4.21700182816357,5.78299817183646,0,-2.64048226542658e-14,196.794596595948,287.987171387133,0.9,0.1,10,151.243734200043
38.976372744481,49.9999999999999,28.002596246765,33.3207755309102,3.93301567520927,5.00000000000001,6.40837923768923,9.1950753420072,4.44089209850063e-16,6.56895111936397e-16,4.20924018277075,5.79075981722928,2.30246226046234e-14,3.89202121875586e-14,194.640739915349,286.088665182765,0.9,0.1,10,150.299744522156
