"s_1","s_3","s_4","s_5","s_1.1","s_3.1","s_4.1","s_5.1","t_1","t_2","t_2.1","t_2.2","t_1.1","t_2.3","t_2.1.1","t_2.2.1","c(extract[[i]]$mortality1)","c(extract[[i]]$mortality2)","tot_profit","tot_biomass"
50,50,50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.9,NA,200
35.625,50,52.5,53.1250000000001,18.125,4.99999999999998,4.99999999999999,6.87499999999994,8.74999999999999,0,1.43957182229233e-15,1.24999999999997,822.5,0,1.13726173961094e-13,98.7499999999979,0.1,0.9,9.99999999999997,191.25
30.10869140625,50,54.73125,49.87939453125,8.95634765625004,5.00000000000002,5.25000000000002,13.2065429687501,5.04687500000002,0,1.77635683940025e-15,4.95312500000002,393.025390625002,0,1.37334588146132e-13,384.795898437502,0.1,0.9,10,184.7193359375
26.3770373941254,50,56.6909708203125,46.3508669790387,6.88815777576688,5.00000000000002,5.47312500000002,13.5284693694949,4.29254638671877,0,2.36316045250443e-15,5.70745361328126,304.996403658725,0,1.81475329900565e-13,421.680217004181,0.1,0.9,10,179.418875193477
23.5011052977645,50,58.3875664667264,43.2946128563765,5.78886555294314,4.99999999999999,5.66909708203124,13.0029894354435,3.9822033668224,0,-5.90695289017586e-16,6.01779663317758,263.864030358366,0,-4.52094908323247e-14,423.243666579422,0.1,0.9,9.99999999999999,175.183284620867
21.1731243287374,50,59.8377560063525,40.7241359896277,5.02469383836682,5,5.83875664667265,12.3906279997653,3.79355676354053,0,-9.77370010097627e-17,6.20644323645948,237.240550853722,0,-7.46899391806713e-15,418.087957226043,0.1,0.9,10,171.735016324718
19.2374844218818,50,61.0636360759957,38.5561228080068,4.43915676540594,5.00000000000002,5.98377560063528,11.8238465690652,3.65533257552178,0,2.43913492929124e-15,6.34466742447826,217.565861292394,0,1.86269342267714e-13,411.761285063793,0.1,0.9,10,168.857243305884
17.5983219764083,50,62.0900603387299,36.7102860585645,3.96966389843254,4.99999999999998,6.10636360759954,11.3219874487006,3.54501557372237,0,-2.61177131181537e-16,6.4549844262776,202.097555620739,0,-1.99365328750477e-14,405.559382458239,0.1,0.9,9.99999999999996,166.398668373703
16.1906345061595,50,62.9425456278745,35.1226117749418,3.58288436213208,5.00000000000002,6.20900603387301,10.881208297042,3.4530795359072,0,-6.16587275588145e-16,6.54692046409283,189.498290939359,0,-4.70416642486121e-14,399.792526542905,0.1,0.9,10,164.255791908976
14.9679018940933,50,63.6457626030982,33.7438589976014,3.25812281942198,5,6.29425456278745,10.493406055744,3.37450099764461,0,4.80214313154344e-16,6.62549900235539,178.989583017262,0,3.6609497944272e-14,394.507313936026,0.1,0.9,9.99999999999999,162.357523494793
13.8956339555356,50,64.222565831728,32.536184381095,2.98139609200499,5.00000000000001,6.36457626030984,10.150626135347,3.3061990765308,0,-4.70056120893582e-16,6.69380092346923,170.068918575241,0,-3.57974775804855e-14,389.677012098045,0.1,0.9,10,160.654384168359
12.9475883431284,50,64.6934651120417,31.4702326707433,2.74275774119817,5.00000000000001,6.42225658317282,9.84601228646735,3.24608998283126,4.44089209850063e-16,-2.59099997296048e-16,6.75391001716877,162.390555548846,3.6646437097876e-14,-1.97055859419464e-14,385.257554079903,0.1,0.9,10,159.111286125913
12.1033854261895,50,65.0764248498412,30.5229548637357,2.53488110255345,4.99999999999997,6.46934651120413,9.57386869790204,3.19267247659237,4.44089209850063e-16,-4.52614477075997e-16,6.80732752340758,155.706143633607,3.64672807771062e-14,-3.43684181435425e-14,381.204593625119,0.1,0.9,9.99999999999995,157.702765139766
11.3469282804566,50,65.3868866060983,29.6760263552484,2.35222705149902,5,6.50764248498411,9.32950735952696,3.14481849133228,0,-2.78842910392831e-16,6.85518150866771,149.831538650485,0,-2.11353853869238e-14,377.478269784707,0.1,0.9,9.99999999999999,156.409841241803
10.6653178480046,50,65.6379291072017,28.9147039797559,2.19052050241772,5,6.53868866060984,9.10906675664228,3.10165490981547,0,1.71469071124064e-16,6.89834509018454,144.626745857884,0,1.29714282742366e-14,374.04397755969,0.1,0.9,10,155.217950934962
10.0480870615254,50,65.8405017161959,28.2269941055747,2.0464049564814,5.00000000000001,6.56379291072019,8.90935104113593,3.06249091883766,0,-1.74177899169913e-16,6.93750908116236,139.983115767164,0,-1.31491911424699e-14,370.8719119644,0.1,0.9,10,154.115582883296
9.48664773736683,50,66.0036870607139,27.603040289645,1.91720630299341,5,6.58405017161959,8.72769867321496,3.02677047300702,0,2.54940378658183e-16,6.97322952699298,135.814834260342,0,1.92052263012801e-14,367.936331726151,0.1,0.9,10,153.093375087726
8.97388339865076,50,66.1349643560308,27.0346669086521,1.80076677138176,4.99999999999998,6.60036870607137,8.56187816392377,2.99403969746077,0,-2.17178471010157e-16,7.00596030253919,132.053087197526,0,-1.63252083758965e-14,365.214853343829,0.1,0.9,9.99999999999997,152.143514663334
8.50384451547013,50,66.2404566961165,26.5150347714023,1.69532551809937,4.99999999999999,6.61349643560307,8.41000604126365,2.96392372839859,0,5.37117808164311e-17,7.03607627160139,128.64195550126,0,4.02876329740763e-15,362.687859579055,0.1,0.9,9.99999999999999,151.259335982989
8.07151704727326,50,66.3251537254095,26.0383780990923,1.59943108820246,5.00000000000002,6.62404566961168,8.27048230515616,2.93610980027046,0,-1.64742650432004e-16,7.06389019972957,125.535464175341,0,-1.23304150138133e-14,360.33802796609,0.1,0.9,10,150.435048871775
7.67264435332521,50,66.3931064203938,25.5998013604839,1.5118761698724,5,6.63251537254095,8.14193944212024,2.91033462077263,0,-6.13597451844157e-17,7.08966537922736,122.695420169756,0,-4.58291357592534e-15,358.149961219639,0.1,0.9,9.99999999999999,149.665552134203
7.30358855026507,50,66.4475939640234,25.1951206687831,1.431648249,4.99999999999999,6.63931064203937,8.02320191710934,2.88637477542558,0,0,7.1136252245744,120.089801110013,0,0,356.109897542961,0.1,0.9,9.99999999999998,148.946303183072
6.96122142489399,50,66.4912645260049,24.8207387373907,1.35789179934349,4.99999999999998,6.64475939640232,7.91325377684747,2.86403932349216,0,-4.22500488257017e-17,7.13596067650781,117.691535985555,0,-3.1429040625647e-15,354.205481459745,0.1,0.9,9.99999999999997,148.27322468829
6.64283776392366,50,66.5262526564044,24.4735453838988,1.28987896911482,4.99999999999999,6.64912645260048,7.81121256256898,2.84316400999253,0,-4.93044118830512e-17,7.15683599000745,115.477569476674,0,-3.66063198430738e-15,352.42557990016,0.1,0.9,9.99999999999999,147.642635804227
6.34608587739905,50,66.5542763101741,24.1508376829723,1.22698661077645,4.99999999999999,6.65262526564042,7.71630815985506,2.82360668929799,0,5.84439372847578e-18,7.17639331070199,113.428134719808,0,4.33119618083002e-16,350.760132113394,0.1,0.9,9.99999999999997,147.051199870545
6.06891144522443,50,66.5767164866959,23.8502553758533,1.1686781048395,5,6.65542763101741,7.62786553715074,2.80524366996895,0,-4.44148862288291e-18,7.19475633003105,111.526181436166,0,-3.2856984417673e-16,349.200025072382,0.1,0.9,10,146.495883307774
