"s_1","s_2","s_3","s_4","s_5","s_1.1","s_2.1","s_3.1","s_4.1","s_5.1","t_1","t_2","t_2.1","t_2.2","t_2.3","t_1.1","t_2.4","t_2.1.1","t_2.2.1","t_2.3.1","c(extract[[i]]$mortality1)","c(extract[[i]]$mortality2)","tot_profit","tot_biomass"
50,50,50,50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.127434905452087,0.187618354257478,NA,250
40.4750915897647,41.7250915897647,48.6282547273956,52.0130729844875,54.5130729844875,13.2749084102353,13.2749084102353,6.37174527260437,5.4869270155125,5.4869270155125,5.19198759648187,5.19198759648187,0.589878838061246,-2.22044604925031e-16,0,565.926648016524,565.926648016524,64.2967933486758,-2.08721928629529e-14,0,0.127434905452087,0.187618354257478,10.973854031025,237.3545838759
32.7735260786018,34.7558731847459,47.4275543137241,53.5143993653538,58.1573445015988,11.3154796908279,11.8322701866232,6.19693704348569,5.98651623061107,6.27425717183543,5.4823374486107,5.61601590161883,0.411284298744803,0,-5.68775626140684e-17,526.202111078542,545.350766417299,42.4935605322173,0,-5.24761517866493e-15,0.127434905452087,0.187618354257478,11.5096376489743,226.628697444024
26.6189288393663,28.9998272040614,46.3703934603133,54.2357007330309,60.7621468023414,9.45947013358855,10.2912791759654,6.04392589979318,6.7416456236253,7.12902862198637,5.61801425103707,5.86702860194454,0.244796323290466,0.196238177726949,0.0830242213383263,479.31553939073,511.028286700485,24.1139638380171,17.2552375805487,7.5316121075298,0.127434905452087,0.187618354257478,12.0091015753373,216.986997039113
22.2096810096369,24.8411224423305,45.4348386666563,53.8692134781161,61.716635331135,7.33923609680144,8.27669024681232,5.90920670639112,7.81266377281539,8.58221625602579,5.13279907522189,5.45579516586017,0.190131596326555,0.743974892405432,0.65039502641503,392.932965694919,429.350122981141,17.9350504476271,63.3403370859956,57.9200201110582,0.127434905452087,0.187618354257478,12.1730957562291,208.071490927875
18.9730188260526,21.7763713281213,44.6031729009412,52.9395366143209,61.6656828564766,5.82820943920518,6.79881287428557,5.78998436971619,8.38476442497752,9.50183430072724,4.69244352729868,5.06825464123094,0.193022999346244,1.13353936016332,1.07716101913082,327.774572416775,366.028704471427,17.517651206768,93.1592414049937,93.5975839631696,0.127434905452087,0.187618354257478,12.16442154717,199.957782525913
16.5270666192462,19.4578792392889,43.8609202939724,51.7753877270325,61.0894678307323,4.75194186565364,5.72534565801622,5.68400112149455,8.63822626076758,10.0318623997127,4.32084032588742,4.7360948453509,0.220074870805323,1.4112963652605,1.39495952548862,279.137215716036,317.912957166492,19.2938909514162,111.902443533568,117.910659264234,0.127434905452087,0.187618354257478,12.0832659327928,192.710721710272
14.6267647873135,17.6581501471329,43.1961314639945,50.5569443018082,60.2833280301552,3.96964592826411,4.9340868110323,5.5894122307039,8.70898742048045,10.3142346135017,4.0136505837939,4.45989185366148,0.255127672716615,1.6142005664954,1.63523685039148,242.42887381128,281.146329918274,21.6862499815618,123.634791021662,134.384437519815,0.127434905452087,0.187618354257478,11.9781075270589,186.321318730404
13.1139680036887,16.2286710100374,42.598851280874,49.375472625151,59.4113564795176,3.38589812950679,4.33748863328469,5.50469492901008,8.68054111579125,10.4489842091345,3.7596008320237,4.23127313707351,0.291215389546775,1.76666169380706,1.82109332411738,214.208733994431,252.62690815411,24.0802763525547,130.991843054742,145.655351320156,0.127434905452087,0.187618354257478,11.8698443765684,180.728319399269
11.8842632372971,15.0706668996989,42.060716690803,48.2733807991455,58.5581947148092,2.93883573174221,3.87699878684196,5.42858058534571,8.60092172267965,10.4988672415702,3.54773145667735,4.04101312983985,0.325573071221772,1.88421674205073,1.96823693175374,192.082639255898,230.117985249771,26.2668378816708,135.597839639211,153.496159044799,0.127434905452087,0.187618354257478,11.7667713315434,175.847222341754
10.8667698237706,14.1167507841611,41.5746487971361,47.2671823267781,57.7637535703411,2.58827933008099,3.51379949387418,5.36000345473952,8.49725483077318,10.5014703573618,3.36910838174979,3.88125514473983,0.357256078618036,1.97687961575314,2.08722308849385,174.408114973325,212.050858662687,28.1966697121568,138.450838280473,159.058768185543,0.127434905452087,0.187618354257478,11.6717223093546,171.589105302187
10.0120178189327,13.3197221331275,41.1346142726861,46.3600036546587,57.0437764792541,2.30763744879928,3.22181350246165,5.29806143866677,8.38477379481415,10.478873613083,3.21683104119074,3.74579838898958,0.386085938756764,2.051289834129,2.18522752587236,160.049345788681,197.32384093656,29.8795081315102,140.172731621394,163.087660648691,0.127434905452087,0.187618354257478,11.5852327289384,167.870134358659
9.28457939006782,12.6456846451967,40.7354384638502,45.5482935707182,56.4014012598014,2.07888035049484,2.98315191914884,5.24198568064785,8.27196136375818,10.443916071094,3.08564475300076,3.62986233753279,0.412191639363432,2.11198923420303,2.26722766301845,148.208079091678,185.153514393023,31.3438004425726,141.158315846588,166.067461804809,0.127434905452087,0.187618354257478,11.5069156271185,164.615397329634
8.6584858087998,12.0697352178318,40.3726575137459,44.8254069066072,55.8335041374916,1.88947536810248,2.78525967611271,5.19111674919007,8.16343359371345,10.4039853699538,2.97154182754358,3.52977287792481,0.435810834989223,2.16217708942235,2.33675541036111,138.312705917714,174.97354499948,32.6211140361298,141.662871761185,168.317638320754,0.127434905452087,0.187618354257478,11.4360580402411,161.759789584476
8.11430257144639,11.5731990462987,40.0424002739369,44.1835087921983,55.3341282241839,1.7305020439216,2.61912619864235,5.1448857931137,8.06156887336241,10.3632568312192,2.87144032179719,3.44269041920224,0.457204786981876,2.20416597446363,2.39637468181815,129.946121513056,166.367351676371,33.7405417072227,141.854148639108,170.051895441941,0.127434905452087,0.187618354257478,11.3718761842631,159.247538908064
7.63721422301346,11.141812793493,39.7412931963442,43.6145719556862,54.8963057901204,1.59547087481841,2.47814818973485,5.10279949298379,7.96744212660078,10.3240107384154,2.7829441087965,3.3663997395782,0.476623514704929,2.23966506950495,2.44798756850936,122.798439283335,159.023260409448,34.7271030032557,141.843819251106,171.415372078196,0.127434905452087,0.187618354257478,11.3136200010939,157.031197958657
7.21573946202934,10.7645025056535,39.4663831247576,43.1108813281048,54.513000394383,1.47956633280384,2.35739286188763,5.06442794101981,7.88136955365407,10.2874101541759,2.70416816762033,3.29915393195781,0.494293180957097,2.26996172166755,2.49303400013468,116.635544340904,152.704319296189,35.601681618037,141.706933963166,172.508118007304,0.127434905452087,0.187618354257478,11.2606110023375,155.070506814928
6.84084946903789,10.4325433994882,39.2150741537695,42.6652703350631,54.1775685440594,1.37915056832002,2.25311057890757,5.02939480203934,7.80323112481534,10.2539631600848,2.63361204472611,3.23955997084689,0.510413192975282,2.29604129711598,2.53262446061861,111.277823761347,147.227686328498,36.3814912081779,141.494216915095,173.40009499661,0.127434905452087,0.187618354257478,11.2122509662829,153.331305901418
6.50535030303758,10.138970411524,38.9850756356699,42.2712117515511,53.8839609379446,1.29143075416894,2.16240574429742,4.9973692670822,7.7326638057389,10.2237992903535,2.57006786263364,3.18649483386738,0.525157354713144,2.31866848329947,2.56762994655566,106.585526470427,142.450329907007,37.080664783716,141.239998225922,174.140897020164,0.127434905452087,0.187618354257478,11.1680184810693,151.784569039727
6.20344205101473,9.87815693945755,38.774359090492,41.922831030615,53.6267847676866,1.21423142363064,2.08301011235979,4.96805942767406,7.66917821756795,10.1968355599881,2.51255290420498,3.13904368454461,0.538676505622416,2.33844380988802,2.59874412408146,102.448512299634,138.258949349645,37.7108145128686,140.967427200035,174.766140070531,0.127434905452087,0.187618354257478,11.1274610283415,150.405573879266
5.93039869895851,9.64550863951674,38.5811222781714,41.6148798483556,53.401294239408,1.14583561978799,2.0131237187912,4.94120678466214,7.61222920657944,10.1728762572741,2.46025970877684,3.0964539350521,0.551101504790708,2.35584380718246,2.62652707503452,98.7789559951002,134.562759143099,38.2815130963384,140.691956181685,175.301722527252,0.127434905452087,0.187618354257478,11.0901860308366,149.17320370441
5.68233200128759,9.43723737901205,38.4037590715651,41.3426908433237,53.2033463774552,1.08487205942179,1.95130131457806,4.9165816697542,7.56125828515937,10.1516726519407,2.4125187286558,3.05810078018788,0.562546078505381,2.37125009215995,2.65143663018358,95.5060737819623,131.288246544695,38.8006896750589,140.423703266557,175.766704476656,0.127434905452087,0.187618354257478,11.0558523096926,148.069365672644
5.45601480318353,9.25019197715745,38.2408340579348,41.1021251184788,53.0293423873983,1.03023365283791,1.89636997896136,4.89397940628964,7.51571871934202,10.1329582780011,2.36877007542523,3.02346107537852,0.573109353518007,2.38497079322969,2.67385118710328,92.5722565034318,128.375309545053,39.2749485312434,140.169075323356,176.175278701791,0.127434905452087,0.187618354257478,11.0241624846547,147.078508344153
5.24874710841438,9.08172980789394,38.0910610180469,40.8895187561144,52.8761654559634,0.981017768947845,1.84736846146646,4.87321707258188,7.47508983014283,10.1164692702345,2.3285419109135,2.9920933365158,0.582878035562313,2.39725656655121,2.69408658897897,89.9301958511636,125.774374422482,39.709823093676,139.931895155355,176.538136136234,0.127434905452087,0.187618354257478,10.9948564385218,146.187222146433
5.05825332722807,8.92961822847598,37.9532846032906,40.7016315834958,52.7411205962431,0.93648182813633,1.80350190838957,4.85413075940449,7.43888456713297,10.1019555488001,2.29143374648619,2.96362227363198,0.591928251135894,2.40831272507723,2.71240879546974,87.540721812238,123.444218072713,40.1099776437991,139.714191435836,176.863422440186,0.127434905452087,0.187618354257478,10.967705791801,145.383908338734
4.8826025726162,8.7919580677051,37.8264646645755,40.5355997258133,52.6218792043736,0.89600986361246,1.76410764305342,4.83657323501651,7.4066528920554,10.0891864233769,2.25710340621907,2.93772671493201,0.60032709207707,2.41830852845028,2.72904352729909,85.3711563198477,121.35030400147,40.4793674996864,139.51675631836,177.157415150774,0.127434905452087,0.187618354257478,10.9425092689775,144.658504235084
4.72014620442737,8.66712363033459,37.7096627913329,40.3888925334625,52.5164293704777,0.859087042258085,1.72862899758295,4.8204119481169,7.3779825747008,10.0779528316466,2.22525675323166,2.914130090633,0.608133907141958,2.42738436942083,2.74418370335541,83.3940462881326,119.46349727941,40.821366518117,139.339541138536,177.425007717708,0.127434905452087,0.187618354257478,10.9190888237829,144.002254530035
4.56946842798753,8.55371520791439,37.6020307014838,40.2592739533541,52.4230321127596,0.825280036817193,1.69659508444011,4.8055273124436,7.35249841990831,10.0680675906117,2.19563952068156,2.89259286784318,0.615401382252191,2.43565738189756,2.75799524577766,81.5861787627944,117.75906229987,41.1388689569308,139.181938131081,177.670058672299,0.127434905452087,0.187618354257478,10.8972863984521,143.407520403499
4.42934687788894,8.45052115977663,37.5028001887799,40.1447681450812,52.3401832552382,0.794221751725155,1.66760500200443,4.79181122725008,7.32986057652555,10.0593645190435,2.168030761195,2.87290648614076,0.622176445914569,2.44322585120895,2.77062166300575,79.927808171036,116.215873858927,41.4343712228862,139.042981192276,177.895645688181,0.127434905452087,0.187618354257478,10.876961207465,142.867619626765
4.29872091425045,8.35648738910823,37.4112743862911,40.0436290157353,52.2665804611329,0.765599324674839,1.64131538688006,4.77916579624568,7.30976234460328,10.0516969634329,2.14223755220916,2.85488845765615,0.62850103061141,2.45017270624146,2.78218770665632,78.4020446773642,114.815790778158,41.7100378077158,138.921488716883,178.104251961245,0.127434905452087,0.187618354257478,10.8579874533745,142.376692166518
4.17666593043944,8.27069258560432,37.3268201468775,39.954313299889,52.2010948586859,0.739144618700649,1.6174305183569,4.7675022142591,7.29192774631734,10.0449360544999,2.11809068437676,2.83837837841913,0.634412715627647,2.45656830154161,2.79280231836064,76.9943660950134,113.543154556116,41.9677547534155,138.816164735137,178.297904017836,0.127434905452087,0.187618354257478,10.8402523983258,141.929586821496
