"stock.s_1","stock.s_2","stock.s_3","stock.s_4","stock.s_5","harvest.s_1","harvest.s_2","harvest.s_3","harvest.s_4","harvest.s_5","effort.t_1","effort.t_2","effort.t_3","effort.t_4","effort.t_5","profit_per_t.t_1","profit_per_t.t_2","profit_per_t.t_3","profit_per_t.t_4","profit_per_t.t_5","rev_per_sp.s_1","rev_per_sp.s_2","rev_per_sp.s_3","rev_per_sp.s_4","rev_per_sp.s_5"
50,50,50,50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24.9999999999999,27.4999999999999,29.9999999999999,32.4999999999999,34.9999999999999,30.0000000000001,30.0000000000001,30.0000000000001,30.0000000000001,30.0000000000001,2.40000000000001,2.40000000000001,2.40000000000001,2.40000000000001,2.40000000000001,5976.00000000001,5976.00000000001,5976.00000000001,5976.00000000001,5976.00000000001,6000.00000000001,6000.00000000001,6000.00000000001,6000.00000000001,6000.00000000001
13.7499999999999,16.9812499999999,20.3999999999999,23.9687499999999,27.6499999999999,15,16.5,18,19.5,21,2.40000000000001,2.40000000000001,2.40000000000001,2.40000000000001,2.40000000000001,3576,3576,3576,3576,3576,4200,3900,3600,3300,3000
7.87187499999994,11.0217864453124,14.6553599999999,18.6993701171874,23.0628649999999,8.24999999999998,10.18875,12.24,14.38125,16.59,2.40000000000001,2.40000000000001,2.40000000000001,2.40000000000001,2.40000000000001,2442,2442,2442,2442,2442,3318,2876.25,2448,2037.75,1650
4.59919216796872,7.35081118238049,10.8651696930815,15.0811008915709,19.8714905479506,4.72312499999996,6.61307186718745,8.79321599999995,11.2196220703124,13.8377189999999,2.4,2.4,2.4,2.4,2.4,1783.47015749999,1783.47015749999,1783.47015749999,1783.47015749999,1783.47015749999,2767.54379999999,2243.92441406249,1758.64319999999,1322.61437343749,944.624999999992
2.71721016358542,4.9834645525493,8.2199281046274,12.4357927819051,17.5022337283668,2.75951530078123,4.4104867094283,6.51910181584894,9.04866053494253,11.9228943287704,2.4,2.4,2.4,2.4,2.4,1362.42634759085,1362.42634759085,1362.42634759085,1362.42634759085,1362.42634759085,2384.57886575407,1809.73210698851,1303.82036316979,882.097341885659,551.903060156247
1.61555963600507,3.41392042994496,6.30567361152094,10.4189687931421,15.6642646154725,1.63032609815125,2.99007873152959,4.93195686277644,7.46147566914305,10.5013402370201,2.4,2.4,2.4,2.4,2.4,1076.60710394482,1076.60710394482,1076.60710394482,1076.60710394482,1076.60710394482,2100.26804740402,1492.29513382861,986.391372555289,598.015746305917,326.065219630251
0.964115715728063,2.35477974285549,4.88549281043663,8.83429736026559,14.1920494998113,0.969335781603039,2.04835225796698,3.78340416691256,6.25138127588528,9.39855876928352,2.4,2.4,2.4,2.4,2.4,874.041290066055,874.041290066055,874.041290066055,874.041290066055,874.041290066055,1879.7117538567,1250.27625517706,756.680833382513,409.670451593396,193.867156320608
0.57661039121021,1.63171085708676,3.81292208834599,7.56064357499105,12.9835638857807,0.578469429436837,1.41286784571329,2.93129568626198,5.30057841615935,8.51522969988676,2.4,2.4,2.4,2.4,2.4,725.537643098328,725.537643098328,725.537643098328,725.537643098328,725.537643098328,1703.04593997735,1060.11568323187,586.259137252395,282.573569142659,115.693885887367
0.345301275639623,1.13421015899733,2.99218417126961,6.51876256115168,11.9721262987238,0.345966234726126,0.979026514252053,2.28775325300759,4.53638614499463,7.79013833146843,2.4,2.4,2.4,2.4,2.4,613.570819137953,613.570819137953,613.570819137953,613.570819137953,613.570819137953,1558.02766629369,907.277228998926,457.550650601519,195.805302850411,69.1932469452252
