"stock.s_1","stock.s_2","stock.s_3","stock.s_4","stock.s_5","run","tots"
50,50,50,50,50,"20 all",250
50,50,50,50,50,"20 all",250
50,50,50,50,50,"20 all",250
50,50,50,50,50,"20 all",250
50,50,50,50,50,"20 all",250
50,50,50,50,50,"20 all",250
50,50,50,50,50,"20 all",250
50,50,50,50,50,"20 all",250
50,50,50,50,50,"20 all",250
50,50,50,50,50,"20 all",250
50,50,50,50,50,"20 all",250
50,50,50,50,50,"20 all",250
50,50,50,50,50,"20 all",250
50,50,50,50,50,"20 all",250
50,50,50,50,50,"20 all",250
50,50,50,50,50,"20 all",250
50,50,50,50,50,"20 all",250
50,50,50,50,50,"20 all",250
50,50,50,50,50,"20 all",250
50,50,50,50,50,"20 all",250
50,50,50,50,50,"20 all",250
50,50,50,50,50,"20 all",250
50,50,50,50,50,"20 all",250
50,50,50,50,50,"20 all",250
50,50,50,50,50,"20 all",250
50,50,50,50,50,"20 all",250
50,50,50,50,50,"20 all",250
50,50,50,50,50,"20 all",250
50,50,50,50,50,"20 all",250
50,50,50,50,50,"20 all",250
50,50,50,50,50,"20 all",250
50,50,50,50,50,"1,1,1,1,40",250
51.25,52.5,52.5,55,50,"1,1,1,1,40",261.25
52.37265625,54.7984756097561,54.7984756097561,59.6079268292683,49.7560975609756,"1,1,1,1,40",271.333631859756
53.3711419598352,56.8823001242395,56.8823001242395,63.7089655075397,49.3317589043972,"1,1,1,1,40",280.176466620251
54.2514798375821,58.7472861425442,58.7472861425442,67.2400004147095,48.7831100247966,"1,1,1,1,40",287.769162562177
55.0217137792526,60.3969170380331,60.3969170380331,70.1887899167854,48.1570438115631,"1,1,1,1,40",294.161381583667
55.6910934092643,61.8406734705881,61.8406734705881,72.5844692486332,47.4907935377684,"1,1,1,1,40",299.447703136842
56.269371789313,63.0922650767274,63.0922650767274,74.4837805477709,46.8125346883105,"1,1,1,1,40",303.750217178849
56.7662660991121,64.1679984796866,64.1679984796866,75.9573193593982,46.1425833625774,"1,1,1,1,40",307.202165780461
57.1910866008814,65.0854135504287,65.0854135504287,77.0785344549779,45.4948327768126,"1,1,1,1,40",309.935280933529
57.5525111097742,65.8622338566735,65.8622338566735,77.9164260369616,44.8781761948635,"1,1,1,1,40",312.071581054946
57.8584708353823,66.5156190097772,66.5156190097772,78.5316286057566,44.2977710938725,"1,1,1,1,40",313.719108554566
58.1161136965896,67.0616758255746,67.0616758255746,78.9750028450313,43.7560836746256,"1,1,1,1,40",314.970551867396
58.3318171345383,67.5151745888342,67.5151745888342,79.2878035880591,43.2537080359392,"1,1,1,1,40",315.903677936205
58.5112298084243,67.8894181088137,67.8894181088137,79.5026767643725,42.7899838985129,"1,1,1,1,40",316.582726688937
58.6593281438245,68.196218406561,68.196218406561,79.6449805150261,42.3634482748742,"1,1,1,1,40",317.060193746847
58.7804787615958,68.4459448497942,68.4459448497942,79.7341332239998,41.9721573762117,"1,1,1,1,40",317.378659061396
58.8785013642409,68.6476162501833,68.6476162501833,79.7848380067801,41.6139108207216,"1,1,1,1,40",317.572482692109
58.9567290007976,68.8090169375472,68.8090169375472,79.8081245053542,41.2864042512252,"1,1,1,1,40",317.669291632471
59.0180641136028,68.9368228608261,68.9368228608261,79.812199600891,40.9873305636106,"1,1,1,1,40",317.691239999757
59.0650296749638,69.0367283978059,69.036728397806,79.8031233723595,40.7144448558962,"1,1,1,1,40",317.656054698831
59.0998152553074,69.1135679816687,69.1135679816687,79.7853361641431,40.4656041358789,"1,1,1,1,40",317.577891518667
59.124318166097,69.1714291057201,69.1714291057201,79.7620641017082,40.2387897149056,"1,1,1,1,40",317.468030194151
59.1401799807337,69.2137549694247,69.2137549694247,79.7356280800366,40.032117909026,"1,1,1,1,40",317.335435908646
59.148818811367,69.2434361689913,69.2434361689913,79.7076775153176,39.8438429928185,"1,1,1,1,40",317.187211657486
59.1514577440303,69.2628915676178,69.2628915676178,79.6793662097642,39.6723551501722,"1,1,1,1,40",317.028962239202
59.1491498301983,69.2741389231848,69.2741389231848,79.6514840858774,39.5161753142283,"1,1,1,1,40",316.865087076674
59.1428000127501,69.2788560942672,69.2788560942672,79.6245554999229,39.3739481886578,"1,1,1,1,40",316.699015889865
59.1331843362738,69.2784337545486,69.2784337545487,79.5989123688693,39.244434322445,"1,1,1,1,40",316.533398536685
59.1209667603632,69.2740205682348,69.2740205682348,79.5747483866373,39.1265018179106,"1,1,1,1,40",316.370258101381
59.1067138627966,69.2665617479896,69.2665617479896,79.552159083343,39.0191180491799,"1,1,1,1,40",316.211114491299
50,50,50,50,50,"1,10,20,30,40",250
48.75,50,50,50.625,41.875,"1,10,20,30,40",241.25
47.62265625,50,50,47.24736328125,39.67001953125,"1,10,20,30,40",234.5400390625
46.6019129800415,50,50,44.7134108267713,37.8138374291396,"1,10,20,30,40",229.129161235952
45.6744011889445,50,50,42.6730833985672,36.3101942523489,"1,10,20,30,40",224.657678839861
44.8288948624388,50,50,40.997276640708,35.0760393497916,"1,10,20,30,40",220.902210852938
44.0558948836793,50,49.7471990490968,39.7054080295307,34.1384959378056,"1,10,20,30,40",217.646997900112
43.3473068168606,50,49.02724362375,38.8163116850478,33.5137614032647,"1,10,20,30,40",214.704623528923
42.6961886452911,50,48.2201582184183,38.1319241784627,33.0289832024501,"1,10,20,30,40",212.077254244622
42.0965512903042,50,47.4489391011996,37.5695272478645,32.6257126024373,"1,10,20,30,40",209.740730241806
41.5431994090136,50,46.7479111760041,37.0911456640385,32.2798242027664,"1,10,20,30,40",207.662080451823
41.0316032537587,50,46.1217608322294,36.6767979082336,31.9788697749741,"1,10,20,30,40",205.809031769196
40.5577947180858,50,45.5657502102547,36.3143184095094,31.715010735269,"1,10,20,30,40",204.152874073119
40.1182823853985,50,45.0726602426061,35.995315066213,31.4825876504547,"1,10,20,30,40",202.668845344672
39.7099816323366,50,44.6351472205773,35.7134618806246,31.2771793851297,"1,10,20,30,40",201.335770118668
39.3301567520926,50,44.2464856499461,35.4637167633214,31.0951821686906,"1,10,20,30,40",200.135541334051
38.976372744481,50,43.9007406575148,35.2419248630166,30.9335888306966,"1,10,20,30,40",199.052627095709
38.64645493323,50,43.5927448970366,35.0445932236501,30.7898547521951,"1,10,20,30,40",198.073647806112
38.3384549615322,50,43.3180163934327,34.8687480239745,30.6618067713683,"1,10,20,30,40",197.187026150308
38.0506220163527,50,43.07266642293,34.7118356424457,30.5475764232274,"1,10,20,30,40",196.382700504956
37.7813783634233,50,42.8533140255176,34.5716494678049,30.4455486448176,"1,10,20,30,40",195.651890501563
37.5292984550342,50,42.6570116619017,34.4462733181818,30.3543211877208,"1,10,20,30,40",194.986904622838
