"as.factor(run)","sum","average"
"100",74925,2497.5
"90",67425,2247.5
"80",59925,1997.5
"70",52425,1747.5
"60",44925,1497.5
"50",37425,1247.5
"40",29925.0000000002,997.500000000007
"30",22425,747.5
"20",14925,497.5
"10",7425,247.5
"1",675,22.5
