"as.factor(run)","sum","average"
"1",7750,250
"100",7750,250
"20",7750,250
"30",7750,250
"50",7750,250
"60",7750,250
"70",7750,250
"80",7750,250
"90",7750,250
"10",7750,250
"40",7749.99999999983,249.999999999995
