"profit_per_t.t_1","profit_per_t.t_2","profit_per_t.t_3","profit_per_t.t_4","profit_per_t.t_5","run","tots"
4.50802403016535,4.50802403016535,20.0154974679681,0,2.03307366609352e-13,"1",29.031545528299
4.36925985410125,4.36925985410128,19.6546408444109,0,1.85531047067084e-13,"1",28.3931605526136
4.23516081666602,4.23516081666601,19.3650482681812,0,1.70852113778186e-14,"1",27.8353699015132
4.10374646050128,4.10374646050124,19.1287283685982,0,5.47876366025987e-15,"1",27.3362212896007
3.97386679982726,3.97386679982724,18.9328376724704,0,-1.66564045878078e-13,"1",26.8805712721247
3.84487875835561,3.84487875835562,18.7680487257018,0,1.47455165367593e-13,"1",26.4578062424132
3.71644558652217,3.71644558652216,18.6274979608133,0,2.83595065171799e-13,"1",26.0603891338579
3.58841114437808,3.58841114437803,18.5060835242022,0,-1.31683049884139e-13,"1",25.6829058129582
3.46072114725135,3.46072114725135,18.3999831560286,0,1.24372933584949e-13,"1",25.3214254505314
3.33337446882807,3.33337446882806,18.306315313805,0,-2.39073096320646e-13,"1",24.9730642514609
3.2063939187054,3.20639391870541,18.2228962722376,0,8.22962527032037e-15,"1",24.6356841096484
3.07980971727816,3.07980971727816,18.148063077534,0,-7.86622754098996e-15,"1",24.3076825120903
2.95365126644226,2.95365126644225,18.0805425323997,0,-1.01858696759343e-13,"1",23.9878450652841
2.82794433904268,2.82794433904266,18.0193527995611,0,-2.66545882648154e-13,"1",23.6752414776462
2.70271180626636,2.70271180626636,17.963728317712,7.16256749201931e-14,1.02060619908023e-14,"1",23.3691519302448
2.57797667957499,2.57797667957498,17.9130614241334,-6.93170584567101e-14,-8.41329662858443e-14,"1",23.0690147832832
2.45376667719286,2.45376667719284,17.8668559088204,0,7.67084061262595e-14,"1",22.7743892632062
2.33011980579489,2.3301198057949,17.8246889929581,6.49102050139184e-14,1.44612913118348e-13,"1",22.4849286045481
2.20709062105351,2.2070906210535,17.7861791406382,-6.28009157248721e-14,-5.45055832232303e-15,"1",22.2003603827451
2.08475692415519,2.08475692415519,17.7509577999109,0,-6.57503261747352e-14,"1",21.9204716482212
1.96322668288784,1.96322668288784,17.7186437309506,0,1.04782172550137e-13,"1",21.6450970967264
1.84264494587502,1.84264494587501,17.6888190775719,0,8.17079432619595e-19,"1",21.3741089693219
1.72320045412394,1.72320045412391,17.6610068290051,0,9.65364753017575e-14,"1",21.107407737253
1.60513155176155,1.60513155176156,17.6346498457948,0,-4.69592164936249e-14,"1",20.8449129493179
1.48873086680648,1.48873086680647,17.6090922025312,0,4.44851478358222e-14,"1",20.5865539361442
1.37434808887545,1.37434808887545,17.583564237767,0,-1.6299838289986e-15,"1",20.3322604155179
1.26239003953433,1.26239003953433,17.5571733506687,0,3.18093147417809e-14,"1",20.0819534297374
1.15331715134196,1.15331715134198,17.5289031602436,0,-1.34586261621152e-15,"1",19.8355374629275
1.04763549472639,1.04763549472638,17.4976239907046,0,-2.64512162187384e-14,"1",19.5928949801573
0.945883675901257,0.945883675901256,17.4621175601922,0,-4.34326331200019e-14,"1",19.3538849119947
162.521851185327,162.521851185377,0,6.493217147787e-28,2.81062817120392e-14,"10",325.043702370704
157.378479669416,157.378479669317,3.77997238564926e-15,0,-1.61989326666396e-14,"10",314.756959338733
152.894476603139,152.894476603184,0,-2.51580213109965e-14,4.21998212761677e-14,"10",305.788953206323
148.959016006534,148.959016006511,0,0,7.60487830721551e-13,"10",297.918032013046
145.484809097659,145.484809097635,0,-2.39515163567035e-14,-3.50752162263837e-14,"10",290.969618195294
142.40211372183,142.402113721847,0,2.34495657014313e-14,-4.99398980497611e-15,"10",284.804227443677
139.654497404115,139.654497404033,0,1.03787766351847e-27,-6.94203072454967e-13,"10",279.308994808147
137.195779894579,137.195779894501,0,4.52036525335512e-14,-6.72791773394316e-13,"10",274.391559789079
134.987787199318,134.987787199298,0,2.22423021311796e-14,6.57353231697117e-13,"10",269.975574398617
132.998675243934,132.998675243914,0,-4.38368361232612e-14,-6.79879409083708e-13,"10",265.997350487847
131.201660654401,131.201660654382,-3.1575960398354e-15,2.16258128960323e-14,-6.52665953174589e-13,"10",262.403321308782
129.574047254778,129.574047254812,0,-2.13607910697819e-14,0,"10",259.14809450959
128.096470535433,128.096470535466,-3.08376747884106e-15,4.10506409985128e-28,-5.88764491050002e-13,"10",256.192941070898
126.752304942722,126.752304942703,3.05180878785962e-15,-2.8292573307381e-28,-6.48331833850875e-13,"10",253.504609885424
125.527194286586,125.527194286568,0,-2.0701848123116e-14,-6.24781706329156e-13,"10",251.054388573153
124.40867629131,124.408676291343,0,-2.051972151056e-14,-1.28398578535556e-14,"10",248.817352582653
123.385879879229,123.385879879261,2.97176914177975e-15,5.36883168810323e-28,1.19871274967231e-12,"10",246.771759758491
122.449279184412,122.449279184444,-2.94950065615531e-15,2.02006758475103e-14,1.69423325701482e-14,"10",244.898558368856
121.590492207412,121.590492207395,0,2.50660287662777e-28,-6.05436808428632e-13,"10",243.180984414806
120.802114887521,120.802114887504,0,1.99324705478861e-14,6.05807721114684e-13,"10",241.604229775026
120.077583491697,120.077583491728,0,1.98144962509408e-14,-5.98002396557529e-13,"10",240.155166983424
119.411059805222,119.411059805287,0,0,-8.13393250621391e-15,"10",238.822119610509
118.797334807513,118.797334807497,0,5.88181057177809e-14,-5.91711272819176e-13,"10",237.594669615009
118.23174742832,118.231747428356,2.84922521775281e-15,4.9442652182208e-28,-6.09454230845545e-13,"10",236.463494856675
