"as.factor(run)","sum","average"
"1",6209.21857666851,200.29737344092
"10",6168.73070869591,198.991313183739
"20",6142.4309508525,198.142933898468
"30",6133.20076963696,197.845186117321
"40",6125.25147166023,197.58875715033
"50",6122.15448567059,197.48885437647
"60",6120.84895023299,197.446740330096
"100",6116.99311604104,197.322358581969
"70",6115.70363091289,197.280762287513
"90",6115.17524234595,197.263717495031
"80",6114.20111752679,197.232294113767
