"as.factor(run)","sum","average"
"100",78580.4552325598,2619.34850775199
"90",70712.4701829339,2357.08233943113
"80",62844.4818155931,2094.81606051977
"70",54976.5140740889,1832.5504691363
"60",47108.5570206853,1570.28523402284
"50",39240.5898329545,1308.01966109848
"40",31372.9317702138,1045.76439234046
"30",23505.153383502,783.5051127834
"20",15637.6203458515,521.254011528383
"10",7769.02852269981,258.967617423327
"1",705.151841101389,23.5050613700463
