"as.factor(run)","sum","average"
"extreme",56925,1897.5
"10,70,80,90,100",52425,1747.5
"1,10,20,30,40",22534.0512322337,751.135041074458
"20 all",14925,497.5
"1,1,1,1,40",12464.6495348561,415.488317828536
