"as.factor(run)","sum","average"
"1,1,1,1,40",6176.63719932318,199.24636126849
"20 all",6142.4309508525,198.142933898468
"1,10,20,30,40",6127.99765280673,197.677343638927
"10,70,80,90,100",6119.43062263689,197.400987826996
