"as.factor(run)","sum","average"
"10,70,80,90,100",54976.5282724658,1832.55094241553
"1,10,20,30,40",15794.9107919666,526.497026398887
"20 all",15637.6203458515,521.254011528383
"1,1,1,1,40",6824.93295216891,227.497765072297
