"s_1","s_3","s_4","s_5","s_1.1","s_3.1","s_4.1","s_5.1","t_1","t_2","t_2.1","t_2.2","t_1.1","t_2.3","t_2.1.1","t_2.2.1","c(extract[[i]]$mortality1)","c(extract[[i]]$mortality2)","tot_profit","tot_biomass"
50,50,50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,0.1,NA,200
45.75,53,55.5,58,7.99999999999999,2,2,2,4,6.18448069487335e-16,-4.66494160135236e-16,0,322,1.36058575287214e-14,-1.02628715229752e-14,0,0.9,0.1,4,212.25
41.8155969279661,55.7643093220339,60.5869512711864,65.317093220339,7.65730932203389,2.2176906779661,2.32229872881356,2.42690677966102,4.1843220338983,5.88254165771734e-16,0,0,309.074947033898,1.2091564377438e-14,0,0,0.9,0.1,4.1843220338983,223.483950741525
38.1469613323819,58.2580230882297,65.0998659820497,71.5208493088756,7.31815891511596,2.43983170988404,2.65083467748128,2.85779053258115,4.37525675391088,0,-2.06289002632923e-16,0,296.299556770674,0,-3.99386459896597e-15,0,0.9,0.1,4.37525675391088,233.025699711537
34.7094507022045,60.4579035972104,68.9392891746437,76.3981161381962,6.97676884169334,2.66372960036784,2.97655894937843,3.27014535077814,4.57229658537111,0,1.87904033587397e-16,0,283.408890982887,0,3.41244395993485e-15,0,0.9,0.1,4.57229658537111,240.504759612255
31.4789896841019,62.3521923433319,72.0712216790788,79.9625238585908,6.62975967136008,2.8869757585814,3.29197747224256,3.64815013702254,4.77518337025931,2.21713726170041e-16,3.8879279224518e-16,0,270.242306851991,3.71491779338701e-15,6.61333119990663e-15,0,0.9,0.1,4.77518337025931,245.864927565103
28.43890788776,63.9394608908747,74.5178392292327,82.3862510200991,6.27554006165951,3.10757814108387,3.59196597062504,3.98526149458525,4.98391159042573,-1.89969043231366e-16,0,0,256.722496482249,-2.96466088234054e-15,0,0,0.9,0.1,4.98391159042573,249.282459027966
25.5777714818076,65.2268222394984,76.3405061161881,83.9077589908441,5.91381536634363,3.32402151151984,3.87395979163312,4.28301500870751,5.1987011857872,0,0,0,242.834909779819,0,0,0,0.9,0.1,5.1987011857872,251.052858828338
22.8879009228906,66.227853326566,77.6214272992694,84.7610616785836,5.5452026902248,3.53525668190581,4.13761202954781,4.5477528331358,5.41994314689306,0,0,0,228.608786006688,0,0,0,0.9,0.1,5.41994314689306,251.49824322731
20.3643562421421,66.9605372606413,78.4484450418891,85.1403282992901,5.17094580619802,3.74062961874764,4.38415251923384,4.78740774320437,5.64812149399256,0,5.50480908341647e-17,0,214.101900635114,0,7.02958979075956e-16,0,0.9,0.1,5.64812149399256,250.913666843963
18.0042267444453,67.4454506883065,78.9048203317211,85.1915436591738,4.79272242628275,3.93976692399558,4.61568263426385,5.00941394818873,5.88371462531758,0,-2.02413992902897e-17,0,199.390045932441,0,-2.38943422618253e-16,0,0.9,0.1,5.88371462531758,249.546041423647
