stock,run,baskets
0,0,2
41.686744386345076,1,2
9.770366757285302,1,2
72.59722437254992,1,2
36.13139469250193,1,2
59.99662561723801,1,2
66.8430653305736,2,2
9.054033570600971,2,2
77.05510808316292,2,2
31.187432364514393,2,2
84.43036963194336,2,2
48.220097684389636,3,2
1.6825257150605109,3,2
61.23715837550465,3,2
43.770032694563156,3,2
81.00282103932877,3,2
21.463113088507363,4,2
0.06218166762805779,4,2
33.51651104516948,4,2
1.6146004061549752,4,2
62.84534109028661,4,2
38.0481913942034,5,2
5.971686905836419,5,2
70.99814916933938,5,2
28.95242105915178,5,2
56.041210702791965,5,2
18.121832617144257,6,2
3.2841291191173475e-5,6,2
31.740195714275874,6,2
0.0022672463652621405,6,2
59.89535318210292,6,2
14.851188727136057,7,2
19.933232313440477,7,2
63.8975747766707,7,2
45.57754646263488,7,2
19.3491487144316,7,2
41.30841939128083,8,2
24.12400739448404,8,2
77.1764155110718,8,2
51.35038858110143,8,2
54.520493516691616,8,2
16.06834455927265,9,2
1.8257105450837298e-6,9,2
27.56079589501608,9,2
1.6724581401808143e-4,9,2
60.041908849709884,9,2
36.2375651592945,10,2
6.556768783481278,10,2
71.43316762116935,10,2
31.951292019199148,10,2
53.053413058143676,10,2
70.51239655944205,11,2
21.622257333807397,11,2
78.00938330655386,11,2
85.28419704102373,11,2
88.89963632378284,11,2
41.686744386345076,1,2
9.770366757285302,1,2
72.59722437254992,1,2
36.13139469250193,1,2
59.99662561723801,1,2
66.8430653305736,2,2
9.054033570600971,2,2
77.05510808316292,2,2
31.187432364514393,2,2
84.43036963194336,2,2
48.220097684389636,3,2
1.6825257150605109,3,2
61.23715837550465,3,2
43.770032694563156,3,2
81.00282103932877,3,2
21.463113088507363,4,2
0.06218166762805779,4,2
33.51651104516948,4,2
1.6146004061549752,4,2
62.84534109028661,4,2
38.0481913942034,5,2
5.971686905836419,5,2
70.99814916933938,5,2
28.95242105915178,5,2
56.041210702791965,5,2
18.121832617144257,6,2
3.2841291191173475e-5,6,2
31.740195714275874,6,2
0.0022672463652621405,6,2
59.89535318210292,6,2
14.851188727136057,7,2
19.933232313440477,7,2
63.8975747766707,7,2
45.57754646263488,7,2
19.3491487144316,7,2
41.30841939128083,8,2
24.12400739448404,8,2
77.1764155110718,8,2
51.35038858110143,8,2
54.520493516691616,8,2
16.06834455927265,9,2
1.8257105450837298e-6,9,2
27.56079589501608,9,2
1.6724581401808143e-4,9,2
60.041908849709884,9,2
36.2375651592945,10,2
6.556768783481278,10,2
71.43316762116935,10,2
31.951292019199148,10,2
53.053413058143676,10,2
70.51239655944205,11,2
21.622257333807397,11,2
78.00938330655386,11,2
85.28419704102373,11,2
88.89963632378284,11,2
41.686744386345076,1,2
9.770366757285302,1,2
72.59722437254992,1,2
36.13139469250193,1,2
59.99662561723801,1,2
41.686744386345076,2,2
9.770366757285302,2,2
72.59722437254992,2,2
36.13139469250193,2,2
59.99662561723801,2,2
41.686744386345076,3,2
9.770366757285302,3,2
72.59722437254992,3,2
36.13139469250193,3,2
59.99662561723801,3,2
41.686744386345076,4,2
9.770366757285302,4,2
72.59722437254992,4,2
36.13139469250193,4,2
59.99662561723801,4,2
41.686744386345076,5,2
9.770366757285302,5,2
72.59722437254992,5,2
36.13139469250193,5,2
59.99662561723801,5,2
41.686744386345076,6,2
9.770366757285302,6,2
72.59722437254992,6,2
36.13139469250193,6,2
59.99662561723801,6,2
41.686744386345076,7,2
9.770366757285302,7,2
72.59722437254992,7,2
36.13139469250193,7,2
59.99662561723801,7,2
41.686744386345076,8,2
9.770366757285302,8,2
72.59722437254992,8,2
36.13139469250193,8,2
59.99662561723801,8,2
41.686744386345076,9,2
9.770366757285302,9,2
72.59722437254992,9,2
36.13139469250193,9,2
59.99662561723801,9,2
41.686744386345076,10,2
9.770366757285302,10,2
72.59722437254992,10,2
36.13139469250193,10,2
59.99662561723801,10,2
41.686744386345076,11,2
9.770366757285302,11,2
72.59722437254992,11,2
36.13139469250193,11,2
59.99662561723801,11,2
