"stock.s_1","stock.s_2","stock.s_3","stock.s_4","stock.s_5","harvest.s_1","harvest.s_2","harvest.s_3","harvest.s_4","harvest.s_5","effort.t_1","effort.t_2","effort.t_3","effort.t_4","effort.t_5","profit_per_t.t_1","profit_per_t.t_2","profit_per_t.t_3","profit_per_t.t_4","profit_per_t.t_5","rev_per_sp.s_1","rev_per_sp.s_2","rev_per_sp.s_3","rev_per_sp.s_4","rev_per_sp.s_5","mortality1","mortality2"
47.7014360076583,15.5916863332289,56.4532740358903,27.1882589666009,77.7636708468536,4.35499292289472,4.71276581149027,5.10658538716213,7.79651031265488,7.02228763053455,1.50638255406634e-15,0,0.0901454971245418,8.37050722056343e-16,1.58204793658581e-15,4.49259257931895e-13,0,2319.36121968172,2.46340307332922e-11,5.24132883851927e-11,561.783010442764,623.720825012391,408.52683097297,377.021264919222,348.399433831578,0.137939480775554,0.544932808488718
47.0353972141633,13.9013155009358,56.1531090904536,25.5896903131875,77.4942052273886,4.40811369885464,4.32250673351118,5.2168754538721,7.53744206648883,7.18617994389529,-1.41274884417994e-15,0,0.0924105030747254,8.27301562414644e-16,1.69386035340515e-15,-4.14277448252655e-13,0,2293.59702122661,2.33646945455432e-11,5.36351540810084e-11,574.894395511623,602.995365319107,417.350036309768,345.800538680895,352.649095908371,0.137939480775554,0.544932808488718
46.3169215041498,12.3447993492167,55.7584462094392,24.0303717245151,77.1300647564246,4.45529240549676,3.95028610659319,5.31894137805634,7.2717289316541,7.34041518662093,-4.29394750661654e-15,0,0.0947221171580794,6.60486442558278e-16,-9.02313964510859e-16,-1.23675962400725e-12,0,2266.83839855656,1.7893065685112e-11,-2.7295014794382e-11,587.233214929674,581.738314532328,425.515310244507,316.022888527455,356.423392439741,0.137939480775554,0.544932808488718
45.5501153755528,10.913662288989,55.279082654797,22.5084831371876,76.6980967846727,4.49645852778714,3.59530878812619,5.41304414914817,6.99862380902694,7.48780631700072,3.32745734621046e-15,0,0.0970802545109615,0,9.66841144060247e-16,9.40422946734295e-13,0,2239.20224703259,0,2.79276927934711e-11,599.024505360057,559.889904722155,433.043531931853,287.624703050095,359.716682222971,0.137939480775554,0.544932808488718
44.7389798667221,9.60102782307235,54.7240512340276,21.0235410922217,76.2168350770493,4.53143329907437,3.25715087459828,5.49929399341706,6.71759154671098,7.63010821992845,0,0,0.0994823670964024,0,3.10576186445596e-15,0,0,2210.74675233115,0,8.5625984286226e-11,610.408657594276,537.407323736879,439.943519473365,260.572069967862,362.514663925949,0.137939480775554,0.544932808488718
43.8875284482639,8.40117539029222,54.1017749242532,19.5762843915443,75.6992919331417,4.55993391919411,2.93569852687578,5.57764298965099,6.42835118817492,7.76825337807875,-3.38277529427695e-15,0,0.101923064244609,-5.28873027922316e-16,-1.10345110338986e-15,-9.1814305949419e-13,0,2181.48847709376,-1.26153412657424e-11,-2.90243136672465e-11,621.4602702463,514.268095053993,446.211439172079,234.855882150062,364.794713535529,0.137939480775554,0.544932808488718
42.999899804127,7.30915949598722,53.4202367836312,18.1685497425676,75.1549419505309,4.58158518143064,2.63109147648655,5.64788902556347,6.13092723470414,7.9025355591514,-3.17748378706432e-15,0,0.104393784371603,0,0,-8.44139596803163e-13,0,2151.41788440253,0,0,632.202844732112,490.474178776331,451.831122045078,210.487318118924,366.526814514451,0.137939480775554,0.544932808488718
42.0804575925937,6.32047835934902,52.6871481659797,16.8031218084825,74.5911036526503,4.59594010740491,2.34366541076008,5.70969257833931,5.82570425761086,8.03275387974234,-3.58812198961495e-18,0,0.106882577130186,8.9402342160569e-16,-9.86301029725006e-19,-9.32344757252229e-16,0,2120.51361613145,1.95593310909445e-11,-2.35884641727757e-14,642.620310379387,466.056340608869,456.775406267145,187.493232860806,367.675208592393,0.137939480775554,0.544932808488718
41.1338681348107,5.43078789344358,51.9100990348404,15.4835464018089,74.0138818719799,4.60251072986899,2.07388924439324,5.76260760060743,5.51347724168627,8.15833226524886,-6.62724526920487e-15,0,0.109374065615652,0,2.70213231481415e-18,-1.68318076759711e-12,0,2088.75599247877,0,6.16008800866439e-14,652.666581219909,441.078179334902,461.008608048595,165.911139551459,368.200858389519,0.137939480775554,0.544932808488718
40.1651465485387,4.63566322771067,51.0966751764114,14.2139015160242,73.4287882959017,4.6008091448956,1.82229533013449,5.80612690178328,5.19548817879645,8.27842748583253,-3.6129086367224e-15,0,0.111849659502404,0,5.81988896474461e-15,-8.9635912894693e-13,0,2056.13991365576,0,1.26462472027912e-10,662.274198866603,415.639054303716,464.490152142662,145.783626410759,368.064731591648,0.137939480775554,0.544932808488718
39.1796626960019,3.93041402619043,50.2545290651906,12.9985285930344,72.8411208422667,4.59039733891926,1.58940309994087,5.83974071833566,4.87343838887538,8.39203496957828,7.08134287576933e-16,4.73948318664295e-16,0.114288076438906,0,-2.43414997544702e-16,1.7153030027913e-13,7.43898529733588e-14,2022.68687317552,0,-5.04211644203732e-12,671.362797566262,389.87507111003,467.179257466853,127.152247995269,367.231787113541,0.137939480775554,0.544932808488718
38.7938493865743,2.69921268370951,50.1747827056847,9.82188914715768,73.3916340427908,3.96019376036915,1.98638783888446,5.07961678941577,6.56931278703524,7.36261959415176,9.39237515278767e-30,1.9763260648283e-15,1.57492655825154e-15,0,0.101077791074838,2.22030671703037e-27,2.99999177600223e-13,2.68430029590546e-11,0,1996.54938379741,589.009567532141,525.545022962819,406.369343153262,158.911027110757,316.815500829532,0.137939480775554,0.544932808488718
38.1091987371066,1.74723621657612,49.6827073588069,7.10364241378273,73.1696834276201,4.24628393211152,1.47724750565149,5.49201424888942,5.3754049582651,8.03327644240336,-1.5225775809447e-15,0,0,0,0.109457658862311,-3.53253731421835e-13,0,0,0,1969.82870932681,642.662115392269,430.032396661208,439.361139911154,118.179800452119,339.702714568921,0.137939480775554,0.544932808488718
37.1746146781056,1.06529917501331,48.8517411752602,4.91493091955498,72.4351490746579,4.47249732699054,1.02527861608501,5.83076483430646,4.16841901173388,8.58719743241763,-2.31843168882176e-15,0,-1.01059503433897e-15,-3.53330543253773e-16,0.117360046267143,-5.24689031741709e-13,0,-1.51590650107195e-11,-5.55018978052015e-12,1926.61521767644,686.97579459341,333.473520938711,466.461186744517,82.0222892868004,357.799786159243,0.137939480775554,0.544932808488718
