"stock.s_1","stock.s_2","stock.s_3","stock.s_4","stock.s_5","harvest.s_1","harvest.s_2","harvest.s_3","harvest.s_4","harvest.s_5","effort.t_1","effort.t_2","effort.t_3","effort.t_4","effort.t_5","profit_per_t.t_1","profit_per_t.t_2","profit_per_t.t_3","profit_per_t.t_4","profit_per_t.t_5","rev_per_sp.s_1","rev_per_sp.s_2","rev_per_sp.s_3","rev_per_sp.s_4","rev_per_sp.s_5","mortality1","mortality2"
45.2317580571396,17.2247130733318,51.8237016842491,25.8975465911147,72.6343839497971,4.70417465720918,6.15822593286688,5.30824848945513,8.7001582607267,7.31595698837996,0,0,0.101805419521037,3.21969061840102e-15,0,0,0,2417.28557791297,8.92478009911767e-11,0,731.595698837996,783.014243465403,424.65987915641,431.075815300681,47.0417465720918,0.163662112311403,0.530183161491777
44.1765501665636,14.6256199081323,51.3506195696045,23.4596427937446,72.9235548803107,4.7711036937376,5.45065429894863,5.46643033897834,8.19511901638764,7.66156772233908,0,0,0.105481279054257,2.92400030450676e-15,-5.14350378136358e-14,0,0,2370.18326741323,7.60435652207726e-11,-1.51955548836422e-09,766.156772233908,737.560711474887,437.314427118268,381.545800926404,47.711036937376,0.163662112311403,0.530183161491777
43.0474604866125,12.3274598386095,50.7346694476208,21.1544941108757,72.8515086336128,4.82822082800729,4.79546653575488,5.61230177554016,7.69197700096201,7.97008877329539,0,0,0.109293749960195,2.6406808019079e-15,-2.82774958029634e-14,0,0,2322.126521493,6.43845921997007e-11,-7.78111195415074e-10,797.008877329539,692.27793008658,448.984142043212,335.682657502842,48.2822082800729,0.163662112311403,0.530183161491777
41.8501532010439,10.3010434222736,49.9882708934088,18.9715432457442,72.5128583627186,4.87480057704072,4.18797585191278,5.74531907581743,7.18676123513306,8.24988448356595,0,0,0.11324246591867,4.73891062094388e-15,0,0,0,2273.21555852224,1.08240062636165e-10,0,824.988448356595,646.808511161975,459.625526065395,293.158309633895,48.7480057704072,0.163662112311403,0.530183161491777
40.5908014043536,8.52357590881945,49.1238117286695,16.9062114204388,71.9785740764234,4.90972179242059,3.62545320673375,5.86445888959544,6.67703643965324,8.50696911965584,0,0,0.117316698193068,0,1.02291034884586e-15,0,0,2223.54852839936,0,2.43559134675724e-11,850.696911965584,600.933279568791,469.156711167635,253.781724471362,49.0972179242059,0.163662112311403,0.530183161491777
39.276503594542,6.97632394445886,48.1540770010906,14.958655801163,71.3014502182407,4.93149828249317,3.10666445357766,5.96819931580528,6.16195909162969,8.74489298445134,0,0,0.121493001169568,0,8.49048332937845e-15,0,0,2173.18156353024,0,1.87841050943488e-10,874.489298445134,554.576318246672,477.455945264423,217.466511750436,49.3149828249317,0.163662112311403,0.530183161491777
37.9156475882144,5.64278103006636,47.0926892468977,13.1325631661367,70.521473676795,4.93836594359081,2.63146951172821,6.05457289075703,5.64240522524216,8.964969415845,0,0,0.125733339061192,-3.26543568799779e-15,6.38178571780566e-15,0,0,2122.14003503461,-6.11051935388353e-11,1.31128751002347e-10,896.4969415845,507.816470271794,484.365831260562,184.202865820975,49.3836594359081,0.163662112311403,0.530183161491777
36.5181566862016,4.50723438603781,45.9544683360233,11.4338535665468,69.6702571442858,4.92844354219441,2.20042089453527,6.12131599924419,5.12108590349316,9.16669300503964,0,0,0.12998442214993,0,-2.97053901931345e-16,0,0,2070.45622537515,0,-5.66848526856518e-12,916.669300503964,460.897731314385,489.705279939535,154.029462617469,49.2844354219441,0.163662112311403,0.530183161491777
35.095544013049,3.55372130278599,44.755607579875,9.86925889144953,68.7742903456402,4.89997252444595,1.81432963683801,6.16612810325988,4.60255172291763,9.34829073415624,9.18785788897119e-16,1.02677540971173e-15,0.134179076084018,0,0,1.2264561568198e-13,1.35530628912549e-13,2018.21759748604,0,0,934.829073415624,414.229655062587,493.290248260791,127.003074578661,48.9997252444595,0.163662112311403,0.530183161491777
34.3129987252992,2.11311836762343,44.345401518268,6.63333578227437,69.1352581500227,4.19933107534937,2.12608932552401,5.35519875789448,5.90449396341066,8.22913628368792,0,0,-2.59306913662506e-16,5.48655289720355e-16,0.119654252226095,0,0,-3.68703689235948e-12,8.42504542253083e-12,1973.43389499525,822.913628368792,531.404456706959,428.415900631559,148.826252786681,41.9933107534937,0.163662112311403,0.530183161491777
33.1358108982769,1.12330104948035,43.3907049674083,4.08554292663131,68.4868470111193,4.5580648135336,1.4035104531966,5.89074758288047,4.40579015952417,9.18377872103142,-9.08439005697818e-17,0,5.94943637438144e-15,-4.34004523732291e-16,0.132837845214989,-1.13360436985022e-14,0,7.75690099053838e-11,-5.98186783597923e-12,1929.85233510457,918.377872103142,396.521114357175,471.259806630438,98.2457317237618,45.580648135336,0.163662112311403,0.530183161491777
31.6649207850114,0.53280782377559,42.0253107321085,2.3055259679775,67.2107032237882,4.79428880217746,0.812629825105302,6.27802867364412,2.95560485362716,9.90908973768089,-2.88420141523919e-17,0,6.44836552781914e-16,8.32991473236905e-17,0.144686026151445,-3.45864881230409e-15,0,7.73113180071747e-12,1.03587645538792e-12,1863.83799423905,990.908973768089,266.004436826444,502.242293891529,56.8840877573712,47.9428880217746,0.163662112311403,0.530183161491777
30.0500439268649,0.229867507849847,40.4471693996888,1.2117284539741,65.7089234275221,4.86061416341665,0.408934112326709,6.45094999458084,1.7695089544296,10.3169465744369,2.52641165013826e-17,0,-2.43894179106662e-17,-3.65773122195651e-17,0.153501541861347,2.90398030828597e-15,0,-2.71530463718371e-13,-4.16173729612985e-13,1784.10449086399,1031.69465744369,159.255805898664,516.075999566467,28.6253878628696,48.6061416341665,0.163662112311403,0.530183161491777
28.429928007359,0.0931758637957305,38.8400738717581,0.608494285560617,64.2847116663927,4.77311479852585,0.182559467481756,6.42458238297419,0.962347847067196,10.4371306601224,0,0,1.24454355557727e-17,-1.2939715495342e-15,0.158838862603415,0,0,1.3044814195324e-13,-1.37248346476140e-11,1704.64243473262,1043.71306601224,86.6113062360476,513.966590637935,12.7791627237229,47.7311479852585,0.163662112311403,0.530183161491777
