"stock.s_1","stock.s_2","stock.s_3","stock.s_4","stock.s_5","harvest.s_1","harvest.s_2","harvest.s_3","harvest.s_4","harvest.s_5","effort.t_1","effort.t_2","effort.t_3","effort.t_4","effort.t_5","profit_per_t.t_1","profit_per_t.t_2","profit_per_t.t_3","profit_per_t.t_4","profit_per_t.t_5","rev_per_sp.s_1","rev_per_sp.s_2","rev_per_sp.s_3","rev_per_sp.s_4","rev_per_sp.s_5","mortality1","mortality2"
50,50,50,50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.200000000000027,0.199999999999996
48.7499999999993,39.999999999998,49.9999999999993,42.499999999998,54.9999999999993,5.00000000000065,15.000000000002,5.00000000000065,15.000000000002,5.00000000000065,-9.91492555054176e-18,1.06082984987638e-16,0.100000000000013,5.55111512312578e-17,-7.80230610017884e-17,-5.0566120307763e-16,6.84235253170265e-15,904.900000000118,6.13342709954168e-13,-1.01812292301234e-12,200.000000000026,450.000000000059,100.000000000013,150.00000000002,5.00000000000065,0.200000000000027,0.199999999999996
47.3698784722209,32.1777777777746,49.7407407407394,36.4201388888856,59.1148148148135,5.12777777777841,12.6222222222233,5.25925925925991,13.4111111111123,5.78518518518591,0,4.88615306866658e-17,0.1051851851852,-5.55111512312578e-17,-2.21946958048667e-17,0,2.94329645473795e-15,870.170740740832,-5.52211054660725e-13,-2.57963400666005e-13,231.407407407436,402.33333333337,105.185185185198,126.222222222233,5.12777777777841,0.200000000000027,0.199999999999996
45.8724226540913,25.87006282715,49.2414109877958,31.287379002224,62.246929034322,5.23707950925332,10.6724517407479,5.49919532221664,12.0795220032702,6.53556638405809,0,7.0865768197385e-18,0.110557165822675,0,2.77555756156289e-17,0,4.02977663872278e-16,845.643261655672,0,2.90814234030243e-13,261.422655362324,362.385660098106,109.983906444333,106.724517407479,5.23707950925332,0.200000000000027,0.199999999999996
44.2665595285727,20.6873657783673,48.5184808196335,26.8302507123488,64.4139787028319,5.33030778339884,9.01818931285129,5.72177925358341,10.906641736056,7.23300124840321,-2.20672264383068e-17,-1.70190022949873e-16,0.116198523535435,0,-4.92808897538896e-17,-1.04941072016763e-15,-9.18005270891224e-15,826.350889477853,0,-4.68473392728524e-13,289.320049936129,327.199252081679,114.435585071668,90.1818931285129,5.33030778339884,0.200000000000027,0.199999999999996
42.5589502166292,16.3864204694395,47.5863084798252,22.8857195972126,65.7131004089559,5.40830080248441,7.5824842589053,5.92778254164468,9.83401926897834,7.86982716569326,8.01913809669517e-17,-1.30526293399501e-16,0.122175765636214,0,-7.66757362127249e-17,3.71749293870189e-15,-6.68764187483759e-15,809.480283155876,0,-6.6317620360694e-13,314.793086627731,295.02057806935,118.555650832894,75.824842589053,5.40830080248441,0.200000000000027,0.199999999999996
40.7555474703637,12.8079497879573,46.4581122129737,19.355263837963,66.2790080704548,5.47034891344768,6.31872522376763,6.11654445334238,8.82490315396663,8.44648624065336,3.97968694849382e-17,0,0.128535804703901,0,2.77555756156289e-17,1.79122596617972e-15,0,793.466498658401,0,2.18547072084608e-13,337.859449626134,264.747094618999,122.330889066848,63.1872522376763,5.47034891344768,0.200000000000027,0.199999999999996
38.8632725325763,9.84283822226972,45.1473998385404,16.1818628419201,66.2516623344516,5.51408508392829,5.19861436773732,6.28562243624155,7.85610143272032,8.96732132097149,3.82193450652841e-17,0,0.135296552891063,0,-4.81348772515556e-17,1.66333730206844e-15,0,777.453276753711,0,-3.44826957580956e-13,358.69285283886,235.68304298161,125.712448724831,51.9861436773732,5.51408508392829,0.200000000000027,0.199999999999996
36.8918343504173,7.41181892134715,43.6698414655749,13.3363877696448,65.7587976829212,5.53539813413354,4.20582401683698,6.43046291631144,6.91447586974719,9.43639853699827,1.12625722602263e-17,5.10675115422627e-17,0.142432630435165,0,0,4.72166656256844e-16,2.23218502154532e-15,760.950681570644,0,0,377.455941479931,207.434276092416,128.609258326229,42.0582401683697,5.53539813413354,0.200000000000027,0.199999999999996
34.8555411992828,5.45213907290593,42.0454001299862,10.8080108170232,64.9109201914105,5.52855714108909,3.33217351326496,6.54429952144686,5.99571556728804,9.85451867386568,9.24340458852188e-17,1.0036402046999e-16,0.149858559175347,0,0,3.72095645413765e-15,4.15226523386519e-15,743.638638116769,0,0,394.180746954627,179.871467018641,130.885990428937,33.3217351326496,5.52855714108909,0.200000000000027,0.199999999999996
