"stock.s_1","stock.s_2","stock.s_3","stock.s_4","stock.s_5","harvest.s_1","harvest.s_2","harvest.s_3","harvest.s_4","harvest.s_5","effort.t_1","effort.t_2","effort.t_2.1","effort.t_2.2","effort.t_2.3","profit_per_t.t_1","profit_per_t.t_2","profit_per_t.t_2.1","profit_per_t.t_2.2","profit_per_t.t_2.3","rev_per_sp.s_1","rev_per_sp.s_2","rev_per_sp.s_3","rev_per_sp.s_4","rev_per_sp.s_5","mortality1","mortality2"
50,50,50,50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1
51.25,52.5,52.5,47.5,57.5,2.5,2.5,2.5,9.99999999999999,2.5,0,0,-5.25809171481023e-17,5,-8.77708367144175e-16,0,0,-1.1830706358323e-15,405,-1.97484382607439e-14,2.5,400,2.5,2.5,2.5,0.1,0.1
52.30703125,54.73125,54.73125,45.00625,64.25625,2.69062500000001,2.75625000000001,2.75625000000001,9.97500000000003,3.01875000000001,0,0,8.89504714147701e-16,5.25000000000001,9.72225827379837e-18,0,0,1.9313371105932e-14,404.971875000001,2.12552871510917e-16,3.01875000000001,399.000000000001,2.75625000000001,2.75625000000001,2.69062500000001,0.1,0.1
53.1802625070699,56.6847388371848,56.6847388371848,42.5579455241945,69.9191459120582,2.86878515314734,3.00174170969023,3.00174170969023,9.87349185861795,3.52414143169182,0,0,0,5.48451151707705,-1.27749742355996e-15,0,0,0,401.85157283186,-2.70707392908071e-14,3.52414143169182,394.939674344718,3.00174170969023,3.00174170969023,2.86878515314734,0.1,0.1
53.8844345291999,58.3649960771745,58.3649960771745,40.1905599450338,74.3474777373167,3.03065687344924,3.23037129336754,3.23037129336754,9.70123305469819,3.98457867927802,0,0,2.46239695831368e-16,5.69883774651608,-1.22653266411994e-15,0,0,4.94656377994178e-15,395.826462580874,-2.51260630748572e-14,3.98457867927802,388.049322187928,3.23037129336754,3.23037129336754,3.03065687344924,0.1,0.1
54.4371556408008,59.7864281601689,59.7864281601689,37.9304454343269,77.5960364390819,3.17464564098165,3.43862159826333,3.43862159826333,9.47143916813096,4.38024260955824,-4.44089209850063e-16,0,-9.01994296431286e-17,5.89158199156996,-1.13639100656818e-15,-8.50092265829357e-15,0,-1.73875572533798e-15,387.398116180735,-2.24508445448304e-14,4.38024260955824,378.857566725238,3.43862159826333,3.43862159826333,3.17464564098165,0.1,0.1
54.8565522076229,60.9694288385395,60.9694288385395,35.7930091590484,79.8444453295339,3.30107090790688,3.62545096936102,3.62545096936102,9.20041383303721,4.70542620095951,0,0,6.84042577245979e-16,6.06400328791741,-3.21256871306882e-15,0,0,1.2642359653222e-14,377.209949081159,-6.10905913557288e-14,4.70542620095951,368.016553321488,3.62545096936102,3.62545096936102,3.30107090790688,0.1,0.1
55.1597204664595,61.9371682230221,61.9371682230221,33.7838238063928,81.3162667925323,3.41145259214538,3.7916038774299,3.7916038774299,8.90366958639088,4.9654148688914,0,-4.44089209850063e-16,-1.90357496680524e-15,6.21886074654054,6.85426191963104e-17,0,-7.86601232190782e-15,-3.371742391494e-14,365.887997924991,1.25288612047551e-15,4.9654148688914,356.146783455635,3.7916038774299,3.7916038774299,3.41145259214538,0.1,0.1
55.3619842995543,62.7133722386036,62.7133722386036,31.9011983930179,82.222242963451,3.50780209396717,3.93880401404905,3.93880401404905,8.5937323023486,5.17118956579707,0,0,0,6.35935437000653,-1.09269456901222e-15,0,0,0,353.9465374118,-1.91839148888994e-14,5.17118956579707,343.749292093944,3.93880401404905,3.93880401404905,3.50780209396717,0.1,0.1
55.4767165705066,63.3209791292178,63.3209791292178,30.1389097582591,82.7341920555244,3.59214141560466,4.06913344203114,4.06913344203114,8.27958877593215,5.33495914154398,0,0,3.86820688655761e-16,6.48846218402901,1.05331362695534e-15,0,0,6.29434247112029e-15,341.760456294468,1.77559778407677e-14,5.33495914154398,331.183551037286,4.06913344203114,4.06913344203114,3.59214141560466,0.1,0.1
