"s_1","s_2","s_3","s_4","s_5","s_1.1","s_2.1","s_3.1","s_4.1","s_5.1","t_1","t_2","t_2.1","t_2.2","t_2.3","t_1.1","t_2.4","t_2.1.1","t_2.2.1","t_2.3.1","c(extract[[i]]$mortality1)","c(extract[[i]]$mortality2)","tot_profit","tot_biomass"
50,50,50,50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,NA,250
51.75,47,53,55.5,58,2,8,2,2,2,0,4,5.89458316230117e-16,-4.44627246378897e-16,0,0,324,1.32628121151776e-14,-1.00041130435252e-14,0,0.1,0.1,4,265.25
53.3638890445777,44.2385172054223,55.7989968717414,60.6232750260688,65.3550531803962,2.13151720542232,7.7434827945777,2.18300312825861,2.28597497393118,2.38894681960376,1.77635683940025e-15,4.11887382690303,0,-2.08958364569935e-16,0,3.82538445364844e-14,314.609880083421,0,-4.52342619702766e-15,0,0.1,0.1,4.11887382690303,279.379731328206
54.8355007977442,41.673301835015,58.3671323577128,65.2156657053212,71.6423754196797,2.26141462257713,7.49882600242286,2.36460778459161,2.56904740390913,2.76956712802534,0,4.23772454194268,7.42344563445664e-16,1.94895589471379e-16,0,0,305.679952494075,1.53819650121558e-14,4.06659728877632e-15,0,0.1,0.1,4.23772454194268,291.733976115473
56.1615235360406,39.2726579268337,60.6843551467348,69.1800010518542,76.6477114703374,2.38890415975613,7.26197610351981,2.5427594031951,2.84111520489872,3.12109429411691,0,4.35649191673727,-2.22044604925031e-16,4.0277521144015e-16,0,0,297.016425286022,-4.42333757345414e-15,8.1064139876347e-15,0,0.1,0.1,4.35649191673727,301.946249131801
57.3412476177041,37.0124174045455,62.7403100340247,72.4804540477282,80.3771861856369,2.51332935990878,7.03008878637868,2.71573422290696,3.0959296830786,3.43012317827511,0,4.4751801619055,0,0,0,0,288.483487737411,0,0,0,0.1,0.1,4.4751801619055,309.951615289639
58.3762314139032,34.8738716278972,64.5334784600965,75.1346926732933,82.9936788528129,2.63417532892415,6.80119117330083,2.88220057440211,3.32964893185892,3.69241357059655,0,4.5938577173735,0,0,0,0,279.992227620441,0,0,0,0.1,0.1,4.5938577173735,315.911953028003
59.2699194720836,32.8423318674293,66.0697946286012,77.1985959142365,84.7281421828473,2.75107006277079,6.57394024140926,3.0412398391951,3.54083843171404,3.91120529299547,0,4.7126544419508,3.73835727614596e-16,4.1848151680129e-16,0,0,271.489308841095,6.61537229503171e-15,7.53851359189104e-15,0,0.1,0.1,4.7126544419508,320.108784065198
60.0272438863119,30.9061140572264,67.3609861115691,78.7492565032167,85.8101088151388,2.86377847524332,6.34744665870797,3.19233191822124,3.73004855190207,4.0938579298202,0,4.8317569869353,3.36424054177517e-16,0,0,0,262.94612623657,5.71641360982064e-15,0,0,0.1,0.1,4.8317569869353,322.853709373463
60.6542347000427,29.0558160584171,68.4228645449359,79.8705042035037,86.431848937079,2.97219075633582,6.12114503801802,3.33531388910103,3.89919305124971,4.24880430465148,0,4.95140300288478,5.95956811165018e-16,1.11531399053212e-16,0,0,254.349900519174,9.71573559417283e-15,1.85637313711156e-15,0,0.1,0.1,4.95140300288478,324.435268443978
61.1576588548437,27.283800070247,69.2737387294499,80.6428312631501,86.7390154110004,3.0763067696336,5.89469830621237,3.47032193940386,4.05093187623905,4.38371505818205,0,5.07187467593493,0,-9.67268166734555e-17,0,0,245.697333216019,0,-1.54494355052991e-15,0,0.1,0.1,5.07187467593493,325.097044328691
61.5447007524229,25.5838207749801,69.9330586913628,81.1377030078397,86.8352106340662,3.17621807573919,5.66792781676988,3.59772602886493,4.18817893184472,4.50478376345533,0,5.19349192760612,2.166812305125e-16,2.43504967151997e-16,0,0,236.990527543093,3.24368868919012e-15,3.728289310742e-15,0,0.1,0.1,5.19349192760612,325.034493860672
61.8226916649187,23.9507579206529,70.4203402241302,81.415261822012,86.7911941232649,3.2720889143097,5.4407632384306,3.71806480964601,4.31377154001441,4.61668554097714,0,5.31660544987033,1.7341344495645e-16,1.94305310917771e-16,0,0,228.234534892301,2.48432566020213e-15,2.84893674882832e-15,0,0.1,0.1,5.31660544987033,324.400245754979
61.9988904514753,22.3804240924167,70.7543737289593,81.5242213810452,86.6540056756064,3.3641371561378,5.21320780241936,3.8319859054324,4.43028441493009,4.72282058759546,8.88178419700125e-16,5.44158959362615,1.28254044370947e-16,4.74778724482018e-17,0,1.19366550391149e-14,219.435950567244,1.75674800588935e-15,6.65984266478535e-16,0,0.1,0.1,5.44158959362615,323.311915329503
62.0803144891403,20.8694265956333,70.9526913507514,81.5029424152484,86.4543225599292,3.45261590423526,4.98531555015396,3.94019432044525,4.53994936475343,4.82561858740767,0,5.56883498897052,0,2.92731637032002e-17,0,0,210.602165194029,0,3.92471487990756e-16,0,0.1,0.1,5.56883498897052,321.859697410703
62.0736173728751,19.4150679924519,71.0312509349803,81.3809949603418,86.2118444010968,3.53779611903039,4.75717798944697,4.04340986609145,4.64464131245119,4.92680762561895,0,5.69874065256106,3.21410892603419e-17,-1.01472996990434e-17,0,0,201.74103384851,4.01321807135214e-16,-1.29913459121997e-16,0,0.1,0.1,5.69874065256106,320.112775661746
61.9512216338578,18.049060708424,70.965628047312,81.0655512716645,85.6295342958501,3.65373738431744,4.49513115221526,4.18099585588804,4.86114315457432,5.33711940552975,0,5.75555353067922,0,0.0290597395107474,0.101522481122073,0,190.342405011486,0,0.354948273870568,1.25475285225126,0.1,0.1,5.88613575131204,317.660995957108
61.6660512846675,16.8282302323457,70.6145188632458,80.1934514647269,84.5905711303726,3.82092280137792,4.17910543285026,4.4719940652298,5.47689437950031,5.96110830892085,0,5.66217083547273,0.0446676015906391,0.196166449955926,0.264626195318711,0,174.817353023238,0.506741097095307,2.28488995495034,3.11852171141803,0.1,0.1,6.16763108233801,313.892822975359
61.2413336162844,15.7486420011262,69.8304960960558,79.0094199026809,83.361865562084,3.97057253951833,3.878855612183,4.93410599126372,5.94909802798754,6.44267512378717,0,5.53695456380417,0.182850399211821,0.326534388234039,0.392491183218724,0,159.994810858701,1.97850962986975,3.62705959636385,4.41146555047363,0.1,0.1,6.43883053446875,309.191757178231
60.7139538677068,14.7911617662199,68.7432471863647,77.6609177313782,82.0743068953428,4.08782837636873,3.61116918537233,5.30075175885974,6.3238628420325,6.83550237161094,0,5.41836181082438,0.305311251468312,0.442995108567692,0.508281793458738,0,147.012392504421,3.15349971975481,4.69759568375834,5.45627489151233,0.1,0.1,6.67494996431912,303.983587447012
60.1137118343916,13.9393844453783,67.456575131974,76.2454481859129,80.7999573197193,4.17805882209609,3.37245274129657,5.58405342421235,6.62009043623915,7.159304924357,5.55111512312578e-17,5.30630417244416,0.413837044809718,0.547602102984918,0.613802940444386,5.34561704863938e-16,135.617371010471,4.08485568128205,5.55170867330828,6.30413563302339,0.1,0.1,6.88154626068319,298.555076917376
